index,source,destination,hops,fail count,delay
0,SAT-9-1,SAT-55-7,33,0,71.44664256790129
1,SAT-65-6,SAT-6-20,22,0,68.55535447359753
2,SAT-61-16,SAT-1-15,14,0,21.357884825771695
3,SAT-13-14,SAT-15-4,13,0,68.12931274393414
4,SAT-1-5,SAT-37-1,41,0,70.64006111524445
5,SAT-6-20,SAT-14-2,13,0,40.7938939820056
6,SAT-42-16,SAT-36-16,31,12,167.2165367377671
7,SAT-48-20,SAT-0-16,33,2,91.02236281328364
8,SAT-30-7,SAT-59-0,37,2,92.47493736490605
9,SAT-13-14,SAT-55-7,38,0,94.07873360281634
10,SAT-6-11,SAT-37-12,33,0,68.95686606540228
11,SAT-71-5,SAT-30-7,34,1,51.364285191633684
12,SAT-15-4,SAT-1-15,26,1,89.49629904370214
13,SAT-61-16,SAT-37-1,32,1,75.56340536804115
14,SAT-1-5,SAT-55-7,21,1,35.331732452760335
15,SAT-14-13,SAT-25-5,24,2,96.41946792015277
16,SAT-62-15,SAT-6-20,22,4,58.54850333483311
17,SAT-20-17,SAT-6-11,21,3,61.82718852848564
18,SAT-59-0,SAT-30-7,39,3,105.70876187951438
19,SAT-23-7,SAT-48-20,35,2,99.14899670727416
20,SAT-43-10,SAT-0-16,36,0,96.31204772681646
21,SAT-65-6,SAT-31-3,38,0,61.65292965785969
22,SAT-4-0,SAT-48-20,31,0,69.48522862670427
23,SAT-1-15,SAT-71-5,17,2,95.13205656284714
24,SAT-41-10,SAT-23-7,22,0,55.02490757538531
25,SAT-60-12,SAT-47-13,15,0,30.119500313471256
26,SAT-6-20,SAT-2-15,12,2,52.3660863440126
27,SAT-53-19,SAT-12-8,43,0,122.11008401648101
28,SAT-48-20,SAT-33-14,22,0,66.6812163061241
29,SAT-55-1,SAT-66-20,15,0,39.70658933139015
30,SAT-54-4,SAT-12-8,35,4,74.56231296803293
31,SAT-28-1,SAT-6-11,33,3,101.08163641792514
32,SAT-44-9,SAT-41-18,13,1,62.801463373427765
33,SAT-0-16,SAT-4-0,11,1,44.33684467032769
34,SAT-33-14,SAT-31-3,14,1,74.69967543859865
35,SAT-66-20,SAT-55-1,15,0,39.722024722503015
36,SAT-13-14,SAT-16-0,12,0,57.32695032887996
37,SAT-9-1,SAT-37-12,40,0,127.06099554500607
38,SAT-47-11,SAT-6-20,41,0,121.48704934228371
39,SAT-44-9,SAT-62-15,25,0,72.16302951456431
40,SAT-42-4,SAT-50-12,17,4,65.42428152628261
41,SAT-29-17,SAT-62-15,38,2,78.98950769755055
42,SAT-59-1,SAT-4-5,22,0,59.54879050856866
43,SAT-14-19,SAT-37-1,28,0,63.3330832674059
44,SAT-48-20,SAT-14-13,42,0,107.87731972490371
45,SAT-30-3,SAT-14-19,23,0,64.94757304751553
46,SAT-25-5,SAT-14-13,20,3,70.2687279504371
47,SAT-6-11,SAT-68-9,13,0,33.25817742022677
48,SAT-53-16,SAT-41-10,19,2,58.56028974253047
49,SAT-20-1,SAT-47-9,36,0,105.38191729827172
50,SAT-21-21,SAT-47-11,37,2,107.15871750670306
51,SAT-45-19,SAT-28-1,22,0,53.69285944225195
52,SAT-42-4,SAT-48-20,13,1,48.97412854928666
53,SAT-34-1,SAT-53-16,31,2,102.55348730263712
