index,source,destination,hops,fail count,delay,overhead_signal
0,SAT-33-7,SAT-17-2,22,0,52.55400410676997,0
1,SAT-60-6,SAT-8-20,29,0,77.18371674983888,0
2,SAT-18-7,SAT-52-6,36,0,48.475594836815944,0
3,SAT-53-1,SAT-58-4,9,0,26.614549601387413,0
4,SAT-28-7,SAT-63-0,43,0,89.10665784671237,0
5,SAT-18-7,SAT-28-7,91,40,541.3504934134547,220
6,SAT-8-20,SAT-69-0,14,0,33.10918099250488,0
7,SAT-60-6,SAT-9-5,107,42,591.8242852201158,462
8,SAT-63-0,SAT-53-1,12,0,26.1724293545861,0
9,SAT-3-21,SAT-17-2,18,0,45.10387674643227,0
10,SAT-28-7,SAT-8-20,30,1,86.72815701186077,1
11,SAT-17-2,SAT-45-4,31,0,51.81550945455364,0
12,SAT-16-12,SAT-69-0,30,1,89.09625884380101,1
13,SAT-16-2,SAT-43-9,35,1,79.26322523085793,1
14,SAT-60-6,SAT-68-18,19,1,76.71626528749242,1
15,SAT-62-14,SAT-16-2,37,3,107.4533303652216,3
16,SAT-3-21,SAT-26-9,34,3,102.63149221299915,3
17,SAT-16-13,SAT-58-4,100,31,501.14366237622505,466
18,SAT-28-7,SAT-0-21,37,2,97.38875050525394,2
19,SAT-46-9,SAT-23-17,80,25,404.6861975577519,278
20,SAT-33-8,SAT-0-21,43,2,111.93665966665162,2
21,SAT-16-2,SAT-9-5,13,1,41.46956166636761,1
22,SAT-63-9,SAT-12-9,22,0,38.1811219759279,0
23,SAT-13-19,SAT-16-12,11,2,50.768391913259045,2
24,SAT-69-18,SAT-56-0,18,1,47.17157205378898,1
25,SAT-45-4,SAT-16-12,38,3,99.19282468338568,3
26,SAT-26-13,SAT-35-2,21,3,86.71165040410459,3
27,SAT-68-1,SAT-17-2,23,0,44.61371180611227,0
28,SAT-46-9,SAT-29-2,25,2,73.1701159491604,2
29,SAT-49-2,SAT-68-18,178,76,1067.898138215743,760
30,SAT-8-20,SAT-12-9,16,3,78.6700312060652,3
31,SAT-65-20,SAT-62-14,10,2,44.19675365847638,2
32,SAT-33-8,SAT-4-1,37,2,92.34854683087545,2
33,SAT-28-12,SAT-3-21,35,1,89.9626900085595,1
34,SAT-69-18,SAT-63-0,11,1,35.924963834980915,1
35,SAT-17-17,SAT-0-12,23,2,60.007650800502,2
36,SAT-3-4,SAT-69-5,14,3,55.629401442760546,3
37,SAT-23-17,SAT-26-1,10,2,44.230717316204355,2
38,SAT-26-8,SAT-16-12,15,0,42.373218180477004,0
39,SAT-68-18,SAT-25-3,37,1,92.67686218890837,1
40,SAT-23-15,SAT-29-2,16,3,68.39108147897831,5
41,SAT-49-2,SAT-52-6,16,5,83.63176531371799,8
42,SAT-3-4,SAT-59-11,24,3,71.7509033112013,3
43,SAT-69-0,SAT-18-7,71,23,355.59812486849574,233
44,SAT-36-17,SAT-4-1,39,2,90.97055351896871,2
45,SAT-38-20,SAT-69-5,45,3,135.3507154073613,3
46,SAT-46-16,SAT-58-4,23,3,85.01403893966071,3
47,SAT-13-19,SAT-63-0,26,0,55.17416960779362,0
48,SAT-43-7,SAT-40-0,11,2,50.388300971760295,4
49,SAT-59-11,SAT-29-6,212,88,1236.057218280139,1361
50,SAT-36-8,SAT-8-20,39,2,110.35061374727323,2
51,SAT-18-7,SAT-9-8,11,1,21.086706403505673,1
52,SAT-59-17,SAT-33-8,36,2,100.59231086877368,2
53,SAT-0-12,SAT-65-15,19,4,83.52403950156021,4
54,SAT-23-15,SAT-59-11,41,1,83.71975888197706,1
55,SAT-23-17,SAT-18-7,16,2,73.63944264967799,2
56,SAT-28-12,SAT-36-17,30,9,150.58580112775581,30
57,SAT-28-7,SAT-63-14,43,1,102.4630830452682,1
58,SAT-9-8,SAT-37-9,30,0,51.76499590173951,0
59,SAT-63-0,SAT-39-7,76,24,373.18314464364914,275
60,SAT-56-0,SAT-16-13,42,2,110.11213115046004,2
61,SAT-27-1,SAT-15-21,15,0,36.607455175857716,0
62,SAT-69-0,SAT-47-10,33,3,101.19634954567185,3
63,SAT-33-8,SAT-24-0,18,2,66.87907318724277,2
64,SAT-49-2,SAT-40-14,20,2,80.01188646310148,2
65,SAT-23-15,SAT-3-21,27,3,71.71787953115933,3
66,SAT-8-20,SAT-26-13,26,2,74.42456505254134,3
67,SAT-14-1,SAT-3-4,23,4,90.00616485419307,4
68,SAT-1-10,SAT-30-2,38,2,98.51759131280427,3
69,SAT-29-2,SAT-55-11,36,3,101.11293135602303,3
70,SAT-60-6,SAT-37-5,117,46,647.3022991893902,552
71,SAT-55-18,SAT-55-11,8,0,45.96484646550558,0
72,SAT-36-8,SAT-59-11,27,0,56.88653857440342,0
73,SAT-32-16,SAT-28-12,9,2,32.635449484228026,2
74,SAT-33-8,SAT-27-7,56,24,331.30865965731056,84
75,SAT-43-9,SAT-47-11,7,0,20.436124354825477,0
76,SAT-26-14,SAT-7-20,26,3,70.1348851073638,3
77,SAT-46-18,SAT-65-20,22,1,43.869258555647065,1
78,SAT-25-3,SAT-25-18,8,0,45.96484646550598,0
79,SAT-65-9,SAT-60-21,16,2,73.62197770490798,2
80,SAT-25-18,SAT-60-6,118,37,595.0954726371398,632
81,SAT-45-19,SAT-7-21,37,0,68.16436650779711,0
82,SAT-31-6,SAT-58-20,36,2,95.48038682897361,2
