index,source,destination,hops,fail count,delay
0,SAT-22-21,SAT-28-15,13,0,46.79417892149742
1,SAT-7-0,SAT-47-8,41,0,91.97519493768125
2,SAT-17-2,SAT-58-7,37,0,71.04335184157287
3,SAT-15-19,SAT-7-19,9,0,12.837338614081702
4,SAT-31-14,SAT-27-19,10,0,37.762525918927665
5,SAT-16-9,SAT-29-5,18,0,42.285547425065126
6,SAT-68-21,SAT-62-21,7,0,11.768285118949214
7,SAT-64-19,SAT-7-19,16,0,24.083073249398335
8,SAT-15-19,SAT-7-0,12,0,32.543525646800596
9,SAT-70-17,SAT-17-2,27,0,69.39084093672759
10,SAT-47-8,SAT-60-11,17,0,40.58253566155026
11,SAT-37-8,SAT-22-21,25,0,83.19379329647451
12,SAT-29-5,SAT-68-21,40,0,80.05385740237946
13,SAT-27-19,SAT-48-13,28,0,65.27006919336009
14,SAT-38-7,SAT-0-15,43,0,99.60803173715583
15,SAT-28-15,SAT-68-14,34,0,50.75059501730095
16,SAT-37-8,SAT-48-13,17,0,50.51210641446249
17,SAT-2-17,SAT-70-17,5,0,4.934407237775471
18,SAT-60-10,SAT-27-19,43,0,99.74261863372253
19,SAT-12-18,SAT-62-17,24,0,37.04488255437976
20,SAT-16-10,SAT-56-21,44,0,111.63369924569137
21,SAT-16-9,SAT-0-15,23,0,61.47824714966946
22,SAT-36-15,SAT-7-19,34,0,61.97480032126668
23,SAT-18-12,SAT-35-13,19,0,39.876612903418184
24,SAT-58-7,SAT-15-19,40,0,101.37324014884328
25,SAT-66-19,SAT-2-17,11,0,23.006939471314162
26,SAT-23-14,SAT-68-14,28,0,43.20836917992244
27,SAT-29-5,SAT-68-21,40,0,80.02271197817714
28,SAT-13-11,SAT-7-19,15,0,59.91748440354424
29,SAT-46-2,SAT-27-2,20,0,34.42375229502267
30,SAT-45-8,SAT-47-15,10,0,49.184625559927014
31,SAT-7-0,SAT-56-21,25,0,52.85553790170329
32,SAT-30-8,SAT-35-13,11,0,40.88148092569951
33,SAT-48-13,SAT-36-1,23,0,80.43280976390405
34,SAT-9-3,SAT-2-17,16,0,61.173461578249785
35,SAT-25-12,SAT-36-15,15,0,41.23978233541768
36,SAT-68-15,SAT-23-14,29,0,43.76405037739493
37,SAT-15-11,SAT-26-20,21,0,81.23583024491643
38,SAT-7-0,SAT-40-21,35,0,71.36794243585342
39,SAT-47-8,SAT-23-15,32,0,79.02941867836421
40,SAT-3-13,SAT-60-10,19,0,46.84374194787884
41,SAT-36-15,SAT-56-21,27,0,66.93697630116282
42,SAT-7-0,SAT-35-13,38,0,93.54090113454632
43,SAT-40-21,SAT-9-3,36,0,75.79412096144006
44,SAT-22-17,SAT-31-14,13,0,30.770261790167584
45,SAT-58-7,SAT-31-14,35,0,83.49622859621618
46,SAT-56-20,SAT-7-19,25,0,43.65385404529849
47,SAT-20-2,SAT-60-10,41,0,91.88526442382037
48,SAT-31-19,SAT-10-18,23,0,40.42885861857075
49,SAT-47-8,SAT-26-20,32,0,99.52651835993505
50,SAT-36-16,SAT-38-12,7,0,28.72465113436688
51,SAT-56-13,SAT-16-10,36,0,77.56169100310775
52,SAT-68-15,SAT-47-8,29,0,74.84830279780216
53,SAT-42-20,SAT-40-21,4,0,10.211111279005445
54,SAT-41-11,SAT-68-21,38,0,120.00215615946257
55,SAT-40-15,SAT-6-5,45,0,112.40190244966935
56,SAT-62-21,SAT-35-20,29,0,59.626521608799294
57,SAT-29-5,SAT-56-21,34,0,72.58721998459107
58,SAT-30-12,SAT-23-4,16,0,61.13575166266031
59,SAT-66-11,SAT-58-7,13,0,42.36567246656675
60,SAT-41-11,SAT-68-15,32,0,80.60280528994457
61,SAT-56-20,SAT-18-17,38,0,61.74572657089114
62,SAT-38-20,SAT-38-7,10,0,59.09765974136505
63,SAT-28-15,SAT-66-11,39,0,72.97764457833141
64,SAT-6-5,SAT-50-6,30,0,40.976116870548516
65,SAT-12-5,SAT-27-17,26,0,84.0934372175785
66,SAT-52-7,SAT-22-14,38,0,87.76029230071298
67,SAT-15-19,SAT-62-21,28,0,53.53211290533849
68,SAT-70-17,SAT-66-21,9,0,31.213680182635752
69,SAT-10-18,SAT-27-2,24,0,63.08252580086037
70,SAT-64-19,SAT-9-12,25,0,66.84651737410202
71,SAT-18-19,SAT-29-5,20,0,70.3164924628605
72,SAT-50-9,SAT-21-12,33,0,72.62812625563522
73,SAT-5-10,SAT-59-7,22,0,55.09270127038784
74,SAT-35-13,SAT-23-14,14,0,25.675875435461684
75,SAT-27-17,SAT-31-14,8,0,24.61139914012054
76,SAT-18-12,SAT-42-16,29,0,73.18552596416588
77,SAT-30-12,SAT-16-10,17,0,40.50275459978697
78,SAT-26-4,SAT-15-19,19,0,61.05257208848732
79,SAT-7-19,SAT-22-17,18,0,31.698660037481456
80,SAT-56-20,SAT-24-4,39,0,83.2658473180569
81,SAT-27-17,SAT-18-3,18,0,63.673985457106554
82,SAT-55-20,SAT-10-0,30,0,62.44884849541366
83,SAT-19-0,SAT-15-1,6,0,14.384746315878198
84,SAT-27-19,SAT-12-1,20,0,50.5442529775732
85,SAT-33-12,SAT-10-18,30,0,67.63035002612409
86,SAT-20-2,SAT-66-11,36,0,91.01199300928745
87,SAT-27-17,SAT-44-13,22,0,47.13269061151378
88,SAT-23-14,SAT-54-21,39,0,95.24972871302421
89,SAT-42-21,SAT-18-0,26,0,53.78417119512144
90,SAT-69-4,SAT-68-14,12,0,66.8912590679322
91,SAT-56-21,SAT-68-21,13,0,23.613257599008165
92,SAT-20-20,SAT-59-7,43,0,99.5950184664339
93,SAT-9-18,SAT-50-6,42,0,103.70703972708648
94,SAT-30-8,SAT-42-20,23,0,80.39037864295496
95,SAT-70-9,SAT-40-15,37,0,80.45639201019206
96,SAT-70-20,SAT-12-1,18,0,45.299478100783006
97,SAT-21-5,SAT-47-4,28,0,38.46615494159582
98,SAT-35-4,SAT-49-1,18,0,38.85959759900868
99,SAT-9-18,SAT-12-18,4,0,4.193717278280657
100,SAT-35-1,SAT-27-2,10,0,20.974263522910114
101,SAT-35-4,SAT-46-2,14,0,28.179141002339986
102,SAT-23-14,SAT-7-1,26,0,78.72384345953698
103,SAT-48-13,SAT-47-4,11,0,60.32429622374914
104,SAT-18-19,SAT-0-5,27,0,74.61070978638047
105,SAT-21-10,SAT-16-10,6,0,9.844283883489164
106,SAT-60-10,SAT-58-3,10,0,48.4175703651979
107,SAT-33-12,SAT-9-3,34,0,105.95789314833772
108,SAT-70-20,SAT-64-19,8,0,17.546195362387845
109,SAT-21-5,SAT-47-15,37,0,97.54947707529877
110,SAT-66-11,SAT-68-21,13,0,69.68852115191419
111,SAT-50-6,SAT-18-0,39,0,79.08734464367546
112,SAT-60-10,SAT-50-7,14,0,39.3913769496583
113,SAT-47-4,SAT-13-11,42,0,87.65189971952037
114,SAT-49-10,SAT-25-20,35,0,95.09022161742296
115,SAT-45-8,SAT-38-19,19,0,80.81121330073756
116,SAT-5-3,SAT-9-18,12,0,51.569142051711935
117,SAT-58-4,SAT-27-17,41,0,101.43136959975928
118,SAT-5-10,SAT-17-2,21,0,67.24109358945907
119,SAT-70-15,SAT-69-0,9,0,47.19066650600713
120,SAT-7-0,SAT-0-5,13,0,41.410901875814645
121,SAT-25-20,SAT-66-18,34,0,69.92541616397115
122,SAT-69-21,SAT-36-13,42,0,117.53891957482388
123,SAT-37-21,SAT-10-18,31,0,72.88731066310632
124,SAT-16-9,SAT-23-4,13,0,41.410901875812804
125,SAT-21-12,SAT-60-9,37,0,84.07643631562999
126,SAT-26-20,SAT-36-15,16,0,45.08491010247403
127,SAT-22-21,SAT-25-14,11,0,49.6407095393529
128,SAT-23-2,SAT-36-15,23,0,75.02639972804063
129,SAT-46-2,SAT-26-8,27,0,63.904193653232504
130,SAT-45-1,SAT-31-14,24,0,86.40326049210753
131,SAT-6-4,SAT-20-8,19,0,45.352799824975264
132,SAT-58-19,SAT-24-18,36,0,61.89238632865648
133,SAT-63-17,SAT-19-17,29,0,34.770056094850815
134,SAT-22-14,SAT-60-10,39,0,80.05246062999058
135,SAT-26-4,SAT-49-12,32,0,83.87167831071069
136,SAT-71-1,SAT-70-5,6,0,27.490391476556788
137,SAT-58-7,SAT-12-2,32,0,64.6759212354542
138,SAT-55-19,SAT-62-17,10,0,21.828007813729535
139,SAT-68-11,SAT-3-13,10,0,27.217090062238018
140,SAT-37-8,SAT-1-21,46,0,117.74033412541121
141,SAT-31-20,SAT-40-8,20,0,82.17676693128818
142,SAT-66-13,SAT-0-15,9,0,23.90364419929778
143,SAT-18-6,SAT-68-14,31,0,79.86748068447375
144,SAT-47-8,SAT-36-15,19,0,60.945592735354204
145,SAT-56-5,SAT-30-12,34,0,77.79539231509786
146,SAT-1-5,SAT-35-3,37,0,54.757373233020985
147,SAT-31-14,SAT-56-20,32,0,78.88195867180272
148,SAT-25-14,SAT-14-12,14,0,30.505561567320598
149,SAT-13-0,SAT-44-14,40,0,90.4830577702584
150,SAT-56-20,SAT-0-5,24,0,75.34245905757659
151,SAT-9-2,SAT-20-20,16,0,45.99597849287825
152,SAT-27-2,SAT-68-19,37,0,88.43575229655332
153,SAT-7-10,SAT-47-15,38,0,76.36506564484026
154,SAT-24-4,SAT-15-19,17,0,58.20851184352986
155,SAT-66-11,SAT-59-12,9,0,20.20419895276358
156,SAT-60-11,SAT-69-5,16,0,50.41217388861356
157,SAT-43-21,SAT-33-14,18,0,65.68866539681973
158,SAT-31-19,SAT-9-18,24,0,42.46058607683142
159,SAT-47-15,SAT-9-16,36,0,52.79517552859177
160,SAT-46-11,SAT-71-13,28,0,63.428147903434436
161,SAT-12-18,SAT-42-21,34,0,61.94686318096779
162,SAT-20-2,SAT-70-9,30,0,72.88184819537283
163,SAT-26-4,SAT-31-14,16,0,72.45873279115064
164,SAT-14-8,SAT-16-9,4,0,9.8312395663397
