index,source,destination,hops,fail count,delay
0,SAT-53-18,SAT-50-13,9,0,36.52990273660747
1,SAT-7-2,SAT-47-17,40,0,104.05529056405126
2,SAT-36-12,SAT-31-21,15,0,65.26077565296535
3,SAT-27-20,SAT-56-9,41,0,124.87493798153008
4,SAT-4-12,SAT-59-16,22,0,47.22022065116078
5,SAT-50-13,SAT-64-19,21,0,64.80309666022042
6,SAT-31-21,SAT-70-19,36,0,77.8583814300795
7,SAT-36-12,SAT-61-3,35,1,93.65503179683586
8,SAT-47-17,SAT-27-20,24,1,47.37598039404631
9,SAT-4-12,SAT-35-21,41,0,119.87633016300028
10,SAT-4-12,SAT-64-19,20,0,60.748634674524986
11,SAT-31-21,SAT-36-12,15,0,65.25757149512243
12,SAT-41-14,SAT-61-3,32,0,104.28897209560961
13,SAT-23-21,SAT-18-3,10,0,34.280251321314154
14,SAT-28-4,SAT-24-1,8,0,25.225319367887423
15,SAT-36-12,SAT-50-13,16,0,34.00385987018943
16,SAT-37-11,SAT-7-2,40,0,119.4754086673656
17,SAT-64-19,SAT-31-21,36,0,66.17303295030561
18,SAT-18-3,SAT-23-21,10,0,34.275893944899494
19,SAT-70-19,SAT-28-4,38,0,94.18322798773022
20,SAT-56-9,SAT-13-7,32,0,53.3314653554466
21,SAT-35-21,SAT-7-11,39,0,120.61513607511195
22,SAT-39-9,SAT-13-12,30,0,66.9710852173179
23,SAT-24-1,SAT-26-13,13,0,68.12676801857317
24,SAT-23-21,SAT-68-11,38,0,118.65259787168989
25,SAT-36-3,SAT-31-14,17,2,79.16515588575473
26,SAT-70-19,SAT-56-19,15,0,22.526275935148735
27,SAT-36-12,SAT-43-12,8,0,13.71319817343256
28,SAT-8-9,SAT-64-19,27,2,87.8550515585945
29,SAT-53-18,SAT-4-12,30,1,71.12052469688133
30,SAT-64-19,SAT-39-9,36,0,105.91130505955697
31,SAT-37-11,SAT-26-12,13,0,28.111351230798125
32,SAT-64-19,SAT-22-13,37,1,80.75209772390237
33,SAT-23-21,SAT-36-12,23,1,76.86985151527898
34,SAT-22-12,SAT-43-21,31,0,100.22891760047747
