index,source,destination,hops,fail count,delay
0,SAT-46-12,SAT-0-13,28,0,57.55220548101914
1,SAT-30-1,SAT-32-4,6,0,23.621204440179646
2,SAT-48-3,SAT-37-0,15,0,37.35056050815046
3,SAT-6-8,SAT-14-21,18,0,68.95864519992594
4,SAT-20-4,SAT-28-16,19,0,75.52505183785532
5,SAT-13-6,SAT-64-13,29,0,71.85673509159298
6,SAT-10-11,SAT-0-13,13,0,31.278996727747394
7,SAT-32-4,SAT-14-21,24,0,57.71334106958644
8,SAT-28-16,SAT-6-8,31,0,79.64188842756191
9,SAT-37-0,SAT-1-15,44,0,118.41836604609786
10,SAT-24-9,SAT-47-15,30,0,81.18344821436233
11,SAT-20-4,SAT-32-4,13,0,16.578298362297783
12,SAT-69-19,SAT-22-6,35,0,99.25788233321472
13,SAT-6-8,SAT-18-5,16,0,34.48300812280733
14,SAT-30-1,SAT-35-3,8,0,22.93386767383826
15,SAT-33-10,SAT-60-0,38,0,98.91903274576849
16,SAT-16-6,SAT-65-15,33,0,87.47050135857339
17,SAT-46-12,SAT-48-3,12,0,61.56099058332541
18,SAT-14-21,SAT-1-15,20,0,64.90643954333294
19,SAT-6-8,SAT-49-1,37,0,92.57594860365579
20,SAT-35-21,SAT-33-10,14,0,74.6931746565024
21,SAT-0-13,SAT-64-13,9,0,14.499907006371282
22,SAT-47-15,SAT-60-15,14,0,17.93984344920056
23,SAT-49-1,SAT-30-1,20,0,37.22905406142863
24,SAT-28-16,SAT-18-1,18,0,58.27835466190212
25,SAT-3-6,SAT-42-8,36,0,53.863583832112006
26,SAT-28-16,SAT-38-1,18,0,58.275231965687865
27,SAT-60-15,SAT-16-6,38,0,93.65710142545826
28,SAT-49-1,SAT-71-21,25,0,56.231436106646925
29,SAT-24-9,SAT-24-15,7,0,39.39843982757655
30,SAT-60-16,SAT-0-13,16,0,34.46796329839819
31,SAT-42-8,SAT-19-9,25,0,43.59386622377147
32,SAT-22-7,SAT-56-12,40,0,80.01430018085213
33,SAT-35-3,SAT-10-11,34,0,83.29946848803911
34,SAT-62-6,SAT-12-3,26,0,46.77524945224006
35,SAT-48-1,SAT-19-17,36,0,96.1871953027805
36,SAT-56-11,SAT-44-1,23,0,89.81479783771388
37,SAT-58-6,SAT-71-20,22,0,68.52672635022631
38,SAT-10-11,SAT-6-8,8,0,27.749463733261592
39,SAT-69-19,SAT-12-3,22,0,63.55982727071564
40,SAT-12-3,SAT-37-0,29,0,59.64155411517707
41,SAT-46-12,SAT-33-10,16,0,38.58464453698012
42,SAT-69-19,SAT-17-21,23,0,45.365384332978834
43,SAT-14-9,SAT-71-20,27,0,90.68220947785625
44,SAT-49-1,SAT-37-8,20,0,60.726235634011715
45,SAT-7-6,SAT-18-5,13,0,20.09434802931192
46,SAT-34-20,SAT-31-19,5,0,12.031369265639668
47,SAT-55-3,SAT-68-6,17,0,40.45789065498896
48,SAT-1-15,SAT-23-15,23,0,30.275612687641857
49,SAT-60-0,SAT-24-5,42,0,77.10529592508084
50,SAT-28-16,SAT-33-10,12,0,45.5460012841997
51,SAT-57-2,SAT-48-12,20,0,76.7296770012157
52,SAT-10-15,SAT-32-21,29,0,69.65729884236197
53,SAT-42-8,SAT-22-10,23,0,45.40014608825182
54,SAT-37-16,SAT-71-16,35,0,41.803417905039495
55,SAT-7-6,SAT-18-5,13,0,20.087761516712952
56,SAT-45-10,SAT-13-21,44,0,111.56532357368462
57,SAT-23-16,SAT-32-21,15,0,43.8949599086517
58,SAT-10-15,SAT-65-15,18,0,23.368918035187797
59,SAT-59-15,SAT-28-9,38,0,82.01234918586051
60,SAT-67-17,SAT-50-8,27,0,80.12091306991589
61,SAT-19-17,SAT-22-7,14,0,69.35082104707372
62,SAT-44-1,SAT-56-1,13,0,23.474641899998524
63,SAT-54-19,SAT-69-19,16,0,24.22655670434894
64,SAT-22-6,SAT-71-16,34,0,93.92918549894469
65,SAT-0-4,SAT-13-13,23,0,76.94827986958153
66,SAT-32-21,SAT-16-10,28,0,91.88846857805937
67,SAT-71-16,SAT-22-10,30,0,67.65680844627853
68,SAT-56-1,SAT-54-19,7,0,29.497570522076323
69,SAT-29-21,SAT-28-9,12,0,66.89269110184601
70,SAT-8-5,SAT-16-10,14,0,42.658701852514916
71,SAT-64-7,SAT-0-4,12,0,29.525888576657024
72,SAT-42-21,SAT-65-15,30,0,67.65011223332357
73,SAT-42-8,SAT-35-16,16,0,61.12958818344528
74,SAT-32-4,SAT-1-15,43,0,110.30881408583986
75,SAT-37-16,SAT-57-2,29,0,77.09214923510109
76,SAT-60-19,SAT-10-11,31,0,79.54823884826736
77,SAT-63-3,SAT-27-19,43,0,96.69540137199901
78,SAT-45-19,SAT-56-1,16,0,44.06041066106911
79,SAT-0-4,SAT-59-4,14,0,17.83094846352289
80,SAT-1-15,SAT-32-21,38,0,81.89499083397762
81,SAT-25-9,SAT-46-1,30,0,78.31417943570206
82,SAT-35-21,SAT-46-11,22,0,79.16940874381497
83,SAT-45-19,SAT-22-6,33,0,87.3361028671822
84,SAT-56-12,SAT-31-19,33,0,76.65880638487208
85,SAT-63-4,SAT-33-18,39,0,93.63433308384941
86,SAT-12-3,SAT-70-12,24,0,76.2823007317843
87,SAT-37-16,SAT-24-9,21,0,61.92201309946747
88,SAT-46-11,SAT-64-13,21,0,49.355597648404164
89,SAT-14-9,SAT-35-5,26,0,52.04258803734697
90,SAT-35-5,SAT-23-15,23,0,80.39037864295504
91,SAT-56-1,SAT-19-17,42,0,82.75660311251667
92,SAT-2-21,SAT-47-15,34,0,92.52826942534365
93,SAT-70-4,SAT-63-3,9,0,16.151856438655674
94,SAT-30-13,SAT-66-6,44,0,110.85245962614351
95,SAT-46-12,SAT-1-15,31,0,72.43950651099458
96,SAT-49-19,SAT-42-21,10,0,24.481044361059283
97,SAT-19-9,SAT-46-1,36,0,85.65791480339558
98,SAT-5-16,SAT-67-17,12,0,18.835540600878105
99,SAT-7-10,SAT-47-15,38,0,76.62718218443699
100,SAT-39-6,SAT-18-16,32,0,91.42343250939447
101,SAT-56-11,SAT-71-16,21,0,63.01641011241001
102,SAT-6-12,SAT-71-16,12,0,34.852081928418144
103,SAT-68-14,SAT-11-2,26,0,89.47225980271189
104,SAT-20-16,SAT-70-4,33,0,92.65006899178258
105,SAT-54-10,SAT-65-15,17,0,54.48945773332422
106,SAT-50-20,SAT-19-17,35,0,76.42812832349023
107,SAT-67-17,SAT-24-9,38,0,88.09574964897946
108,SAT-42-21,SAT-18-9,35,0,95.09675317560603
109,SAT-45-10,SAT-33-10,13,0,23.626281320373998
110,SAT-56-11,SAT-49-19,16,0,61.113881714556015
111,SAT-35-18,SAT-16-21,23,0,46.304549179032904
112,SAT-67-3,SAT-59-15,19,0,75.47278479200271
113,SAT-35-16,SAT-20-0,22,0,57.789786851407726
114,SAT-25-9,SAT-52-3,34,0,72.50286447047074
115,SAT-49-19,SAT-35-12,22,0,68.7098031295693
116,SAT-14-21,SAT-66-10,32,0,96.74687382726405
117,SAT-10-10,SAT-63-14,24,0,56.372832586752466
118,SAT-39-17,SAT-35-10,12,0,50.86812662751384
119,SAT-49-21,SAT-8-5,38,0,100.4552092550015
120,SAT-55-5,SAT-50-20,13,0,52.09260981276926
121,SAT-6-12,SAT-0-11,8,0,18.273894941859027
122,SAT-67-17,SAT-48-14,23,0,43.27876203774929
123,SAT-42-14,SAT-23-15,21,0,32.498703041138306
124,SAT-22-6,SAT-25-13,11,0,49.687932064024665
125,SAT-62-10,SAT-63-12,4,0,15.103097217543137
126,SAT-36-13,SAT-52-3,27,0,85.2686694398187
127,SAT-55-11,SAT-52-9,6,0,19.169171106947424
128,SAT-41-14,SAT-67-2,37,0,106.81791950226949
129,SAT-63-5,SAT-19-9,33,0,60.57368190763561
130,SAT-22-18,SAT-42-14,25,0,50.76612872797303
131,SAT-56-15,SAT-49-17,10,0,21.70798903754723
132,SAT-33-9,SAT-41-14,14,0,47.49910562053958
133,SAT-59-16,SAT-63-4,15,0,70.56416681454651
