index,source,destination,hops,fail count,delay,overhead_signal
0,SAT-8-3,SAT-52-13,39,0,100.17751548425916,0
1,SAT-58-19,SAT-25-0,37,0,72.65324169687514,0
2,SAT-22-6,SAT-5-18,28,0,86.61866047873707,0
3,SAT-26-10,SAT-38-7,16,0,36.296011164026446,0
4,SAT-60-10,SAT-56-8,7,0,19.551482582899613,0
5,SAT-56-20,SAT-8-3,42,6,155.21371513566362,78
6,SAT-25-0,SAT-2-18,258,115,1578.275375214816,1495
7,SAT-58-19,SAT-7-15,110,43,615.9507693867529,559
8,SAT-38-7,SAT-52-13,21,2,64.82290783058033,26
9,SAT-5-18,SAT-60-10,26,3,83.3797649716457,39
10,SAT-7-5,SAT-13-11,13,0,46.79033393208581,0
11,SAT-7-12,SAT-60-10,22,0,50.376819988181005,0
12,SAT-52-13,SAT-27-7,32,0,74.0137182347238,0
13,SAT-47-2,SAT-7-3,34,0,57.86000516334764,0
14,SAT-24-1,SAT-8-3,19,0,38.779612538567854,0
15,SAT-24-1,SAT-58-19,447,204,2767.0083124482376,2652
16,SAT-13-11,SAT-9-7,49,20,296.1746894361075,260
17,SAT-13-21,SAT-47-2,38,0,81.34799753510812,0
18,SAT-7-3,SAT-15-8,30,11,152.4340959943497,143
19,SAT-52-13,SAT-7-17,90,30,456.1882150693086,390
20,SAT-25-0,SAT-32-7,15,0,54.58430220298315,0
21,SAT-56-20,SAT-60-10,15,2,72.06879364296496,26
22,SAT-7-17,SAT-26-10,27,2,76.38730096794372,26
23,SAT-66-6,SAT-24-9,34,3,74.24367987939917,39
24,SAT-13-11,SAT-27-4,22,0,63.20375794046024,0
25,SAT-13-11,SAT-15-5,21,6,121.81887235588947,78
26,SAT-50-11,SAT-63-1,24,3,89.21716005483546,39
27,SAT-24-9,SAT-32-14,26,6,126.17972696669155,78
28,SAT-5-0,SAT-58-16,140,57,822.3925488465485,741
29,SAT-18-13,SAT-27-7,106,45,646.6810251704449,585
30,SAT-24-9,SAT-36-21,23,3,87.39682869623424,39
31,SAT-25-18,SAT-7-15,76,28,404.9796915923881,364
32,SAT-68-13,SAT-58-19,37,13,188.92211130284417,169
33,SAT-2-18,SAT-66-6,39,11,211.54863011122504,143
34,SAT-36-1,SAT-15-8,71,24,359.96455656356744,312
35,SAT-8-3,SAT-25-18,195,85,1193.0299189219086,1105
36,SAT-7-15,SAT-21-15,71,28,393.06366678980356,364
37,SAT-19-13,SAT-66-20,33,4,91.47122103076629,52
38,SAT-0-13,SAT-26-10,30,0,66.7683107501759,0
39,SAT-68-12,SAT-45-15,37,5,127.2291508931213,65
40,SAT-15-5,SAT-49-13,43,4,114.44372636283258,52
41,SAT-47-2,SAT-26-10,30,4,90.77131011659245,52
42,SAT-34-9,SAT-50-3,55,18,278.47760907767923,234
43,SAT-22-6,SAT-24-1,8,3,36.45130279419249,39
44,SAT-62-5,SAT-27-4,177,71,989.2005540276053,923
45,SAT-65-9,SAT-34-4,153,59,849.7461824080548,767
46,SAT-63-1,SAT-34-9,38,4,105.3592251713006,52
47,SAT-11-5,SAT-31-19,29,3,88.7096329602875,39
48,SAT-25-18,SAT-52-13,33,3,81.67284599639724,39
49,SAT-43-9,SAT-34-6,81,34,482.0623874488061,442
50,SAT-27-7,SAT-34-9,10,2,25.88927951962442,26
51,SAT-64-8,SAT-9-9,19,1,37.546396087076005,13
52,SAT-7-17,SAT-36-21,34,3,78.6823238408363,39
53,SAT-65-9,SAT-49-13,21,0,55.19686209637734,0
54,SAT-59-10,SAT-32-7,283,126,1721.5190828629736,1638
55,SAT-26-6,SAT-37-5,73,30,419.8548639001107,390
56,SAT-43-9,SAT-33-18,54,19,299.9595374166105,247
57,SAT-52-13,SAT-32-20,28,4,82.42583501720574,52
58,SAT-40-2,SAT-56-20,21,0,55.185378402151656,0
59,SAT-25-0,SAT-55-6,99,32,500.99832011001195,416
60,SAT-18-13,SAT-33-18,77,30,427.4756397968248,390
61,SAT-32-14,SAT-49-12,20,1,43.847831917749204,13
62,SAT-50-3,SAT-19-10,39,4,102.5009578396853,52
63,SAT-34-6,SAT-58-16,43,4,161.96521215951262,52
64,SAT-20-5,SAT-63-3,90,31,446.3806065472222,403
65,SAT-15-8,SAT-25-0,19,3,70.59171469614809,39
66,SAT-50-3,SAT-66-6,54,18,271.93962689168455,234
67,SAT-37-21,SAT-59-7,115,44,643.8301670639879,572
68,SAT-20-15,SAT-27-7,16,2,65.1735762183345,26
69,SAT-19-13,SAT-21-15,15,5,82.44576089556783,65
70,SAT-68-12,SAT-2-18,37,14,207.94300734653993,182
71,SAT-49-13,SAT-58-19,34,12,174.019971623292,156
72,SAT-69-17,SAT-50-3,28,3,87.2088124308524,39
73,SAT-60-2,SAT-7-5,31,4,106.90803234463908,52
74,SAT-32-14,SAT-13-11,23,1,54.00040561788308,13
75,SAT-32-9,SAT-43-9,12,0,20.084105467158416,0
76,SAT-24-9,SAT-50-1,35,3,99.45095754738513,39
77,SAT-15-8,SAT-15-20,11,0,65.66406637929373,0
78,SAT-68-13,SAT-7-5,72,26,412.4689022906611,338
79,SAT-41-3,SAT-10-0,35,1,75.64194444311379,13
80,SAT-37-21,SAT-26-10,23,4,92.32219106963417,52
81,SAT-7-5,SAT-60-10,25,4,67.53590982562869,52
82,SAT-20-15,SAT-7-15,62,24,338.2049533769474,312
83,SAT-63-3,SAT-31-19,39,1,97.12264855354509,13
84,SAT-14-8,SAT-23-18,52,18,291.79677676788265,234
85,SAT-38-7,SAT-64-8,76,25,368.8458704408405,325
86,SAT-26-10,SAT-32-14,23,6,115.56866316740786,78
87,SAT-19-19,SAT-7-3,31,6,139.67670526727986,78
88,SAT-23-5,SAT-50-3,82,28,403.0579035050057,364
89,SAT-11-5,SAT-38-12,35,4,94.69980315349274,52
90,SAT-34-4,SAT-9-9,31,4,78.5295550763969,52
91,SAT-66-20,SAT-52-13,22,3,71.19891825019859,39
92,SAT-36-8,SAT-7-3,93,31,465.9541954578426,403
93,SAT-23-18,SAT-25-8,13,3,69.26893377710702,39
94,SAT-34-6,SAT-36-21,10,3,49.56971386331992,39
95,SAT-26-10,SAT-0-13,30,0,66.54363764201271,0
96,SAT-1-14,SAT-36-21,43,4,109.96549193299023,52
97,SAT-9-9,SAT-24-1,24,3,79.55687871587142,39
98,SAT-5-15,SAT-28-17,74,25,369.96307091558793,325
99,SAT-63-3,SAT-25-17,273,115,1619.9715647260443,1495
100,SAT-46-0,SAT-34-4,27,5,113.88102703329041,65
101,SAT-7-3,SAT-68-11,20,4,72.65330936385872,52
102,SAT-0-13,SAT-70-10,6,0,23.301184135033385,0
103,SAT-18-9,SAT-23-18,35,12,199.57218170923622,156
104,SAT-38-12,SAT-23-7,163,71,991.7150623005839,923
105,SAT-18-9,SAT-49-12,35,0,76.42812832349018,0
106,SAT-13-11,SAT-21-10,10,0,22.317260851512035,0
107,SAT-33-21,SAT-32-14,11,3,60.89791465198966,39
108,SAT-35-21,SAT-65-7,137,51,748.5949708122204,663
109,SAT-23-7,SAT-15-5,57,23,329.37564163752614,299
110,SAT-40-19,SAT-56-11,25,3,81.32368152758688,39
111,SAT-42-4,SAT-17-0,30,2,71.25379596445488,26
112,SAT-55-20,SAT-7-15,126,49,706.395713067154,637
113,SAT-37-11,SAT-25-17,47,15,245.22563414998334,195
114,SAT-46-1,SAT-1-2,29,0,55.15362960368496,0
115,SAT-55-1,SAT-60-10,15,4,68.25433770437402,52
116,SAT-42-11,SAT-58-11,17,0,32.19508612255821,0
117,SAT-32-9,SAT-7-12,29,0,65.4826097288402,0
118,SAT-33-18,SAT-65-9,42,3,116.659186481412,39
119,SAT-24-7,SAT-37-10,17,2,43.29988678673065,26
120,SAT-13-21,SAT-47-2,38,0,80.83352223495346,0
121,SAT-40-6,SAT-68-13,36,3,97.26139100960565,39
122,SAT-50-3,SAT-9-12,41,4,115.89026262947618,52
123,SAT-58-11,SAT-26-10,34,0,69.60414382230643,0
124,SAT-60-2,SAT-5-18,184,80,1120.1944535545065,1040
125,SAT-52-13,SAT-64-14,26,6,107.14938126346034,78
126,SAT-3-11,SAT-1-14,18,6,102.16150410719023,78
127,SAT-40-11,SAT-39-7,16,5,93.72702972398551,65
128,SAT-42-1,SAT-37-10,15,4,68.26117108699067,52
129,SAT-41-3,SAT-66-20,31,1,77.76545301399373,13
130,SAT-67-14,SAT-11-3,28,4,101.56461787900507,52
131,SAT-0-8,SAT-20-5,142,59,830.2526628702878,767
132,SAT-29-11,SAT-23-7,63,26,377.94358417136135,338
133,SAT-3-14,SAT-35-18,165,66,925.4339659302443,858
134,SAT-26-13,SAT-56-8,382,173,2357.580481225614,2249
135,SAT-37-21,SAT-66-21,30,0,57.15868019739876,0
136,SAT-15-5,SAT-33-21,25,3,71.72413900560791,39
137,SAT-0-8,SAT-44-13,34,1,84.18584759274405,13
138,SAT-55-12,SAT-35-21,30,4,95.77895574357666,52
139,SAT-64-14,SAT-34-4,143,52,787.3696296787597,676
140,SAT-26-10,SAT-41-3,53,17,269.8841229119797,221
141,SAT-34-18,SAT-25-8,20,3,81.82031276444988,39
142,SAT-7-12,SAT-15-5,60,22,348.8180011152026,286
143,SAT-50-1,SAT-26-13,35,3,108.74739007304447,39
144,SAT-13-21,SAT-19-4,22,5,109.50456660360207,65
145,SAT-7-3,SAT-9-9,9,4,43.0692861651162,52
146,SAT-70-10,SAT-19-4,108,41,601.9633260962323,533
147,SAT-14-13,SAT-32-9,23,0,58.56489639809533,0
148,SAT-37-21,SAT-22-6,51,15,256.333216043799,195
149,SAT-32-7,SAT-35-4,19,7,103.87931121000904,91
150,SAT-58-11,SAT-68-4,58,21,326.55779556557036,273
151,SAT-39-4,SAT-33-0,11,2,37.0276367014418,26
152,SAT-26-6,SAT-41-3,45,15,216.90041234597092,195
153,SAT-38-16,SAT-7-3,41,4,115.81137379433999,52
154,SAT-23-8,SAT-21-10,5,1,16.599604505708196,13
155,SAT-57-14,SAT-34-11,27,1,60.9366541526743,13
156,SAT-17-15,SAT-1-14,48,16,232.03017498114642,208
157,SAT-45-15,SAT-55-1,19,4,70.89902668742155,52
158,SAT-68-11,SAT-66-2,12,3,62.683523588223224,39
159,SAT-35-21,SAT-39-11,15,3,72.26661037858739,39
160,SAT-19-13,SAT-25-8,58,23,345.1048702342529,299
161,SAT-48-10,SAT-58-1,20,3,77.01960552314716,39
162,SAT-68-13,SAT-68-12,2,0,6.566406637929374,0
163,SAT-10-4,SAT-37-5,37,4,108.70888752506586,52
164,SAT-32-15,SAT-3-6,255,108,1527.7667418821998,1404
165,SAT-41-0,SAT-32-15,49,17,271.7797075758068,221
166,SAT-24-1,SAT-33-21,12,0,30.65931300804595,0
167,SAT-69-14,SAT-68-13,3,1,8.357862962866573,13
168,SAT-13-11,SAT-18-13,8,0,22.090094900535767,0
169,SAT-54-16,SAT-51-2,12,4,57.45202252855255,52
170,SAT-56-20,SAT-9-8,82,26,413.2794718776004,338
171,SAT-34-7,SAT-33-2,7,3,34.6227503557565,39
172,SAT-54-6,SAT-44-13,18,3,64.35285417364797,39
173,SAT-62-5,SAT-55-10,13,4,45.70363858534601,52
174,SAT-47-2,SAT-32-14,56,17,289.51702300885466,221
175,SAT-33-7,SAT-71-8,100,33,488.94957795817754,429
176,SAT-48-20,SAT-58-1,14,0,38.09395125524985,0
177,SAT-33-5,SAT-17-19,25,3,81.17088676920432,39
178,SAT-7-12,SAT-0-21,17,4,71.97397168038675,52
179,SAT-50-9,SAT-68-13,23,0,58.48521442570619,0
180,SAT-51-15,SAT-26-6,211,88,1257.6463646485627,1144
181,SAT-41-3,SAT-8-9,40,4,100.12320635784816,52
182,SAT-38-0,SAT-3-14,112,36,561.4541463732944,468
183,SAT-25-17,SAT-29-5,23,4,125.55589724397196,52
184,SAT-28-17,SAT-60-6,110,34,564.2936534287803,442
185,SAT-23-5,SAT-42-4,91,36,499.5468810239808,468
186,SAT-15-8,SAT-37-21,32,3,98.44453390756365,39
187,SAT-62-5,SAT-49-12,21,4,69.89543739988368,52
188,SAT-5-13,SAT-19-19,47,16,235.69232923250283,208
189,SAT-68-20,SAT-37-7,165,64,930.3973381495371,832
190,SAT-66-0,SAT-49-0,18,0,34.19535462317608,0
191,SAT-3-7,SAT-41-3,107,36,533.564829723276,468
192,SAT-34-4,SAT-9-8,80,28,400.62305527186146,364
193,SAT-44-20,SAT-2-10,41,3,119.29661207843489,39
194,SAT-27-19,SAT-67-7,151,56,831.6214526039897,728
195,SAT-57-10,SAT-21-19,116,38,584.8598915565868,494
196,SAT-3-6,SAT-50-14,34,3,98.58505298674677,39
197,SAT-23-7,SAT-62-16,51,4,172.41992869076893,52
198,SAT-9-12,SAT-9-9,4,0,19.699219913788138,0
199,SAT-63-4,SAT-55-1,12,2,33.995282896700694,26
200,SAT-30-20,SAT-48-10,29,3,97.81680634449975,39
201,SAT-3-6,SAT-5-13,10,3,49.650484570265604,39
202,SAT-50-12,SAT-51-7,17,5,100.28236290034161,65
203,SAT-53-6,SAT-26-13,35,3,95.29283818427767,39
204,SAT-38-20,SAT-26-10,23,3,87.09922635609776,39
205,SAT-38-7,SAT-23-7,156,70,945.0823984005866,910
206,SAT-3-18,SAT-51-7,124,46,693.4832831040734,598
