index,source,destination,hops,fail count,delay
0,SAT-54-17,SAT-12-5,41,0,102.64276184889958
1,SAT-33-12,SAT-51-11,20,0,41.864267375453075
2,SAT-38-14,SAT-38-19,6,0,32.83203318964689
3,SAT-9-17,SAT-9-17,1,0,0
4,SAT-55-6,SAT-0-15,27,0,80.0522538408077
5,SAT-13-19,SAT-37-18,26,0,39.759989138406006
6,SAT-0-3,SAT-45-17,36,0,85.82082419411876
7,SAT-25-15,SAT-38-19,18,0,42.28554742506519
8,SAT-9-17,SAT-33-3,33,0,82.12198296182062
9,SAT-33-12,SAT-58-10,28,0,62.14787006750056
10,SAT-17-1,SAT-38-14,31,0,84.97599345984919
11,SAT-20-16,SAT-51-11,37,0,71.02348606294679
12,SAT-0-15,SAT-39-16,35,0,47.22182421273238
13,SAT-38-14,SAT-37-18,6,0,27.497608902469082
14,SAT-33-3,SAT-54-11,30,0,78.40288246921877
15,SAT-38-19,SAT-4-3,41,0,93.8978882608332
16,SAT-38-14,SAT-9-21,37,0,81.68314367394153
17,SAT-4-3,SAT-57-20,25,0,63.27104928373825
18,SAT-33-3,SAT-50-5,20,0,34.07112543252818
19,SAT-17-8,SAT-58-10,34,0,62.95847418215733
20,SAT-64-13,SAT-36-15,31,0,51.79397810780892
21,SAT-63-10,SAT-44-4,26,0,62.79410540072904
22,SAT-38-19,SAT-37-20,3,0,8.174556291934879
23,SAT-10-10,SAT-0-3,18,0,58.27835466190187
24,SAT-22-6,SAT-33-3,15,0,33.2440789298242
25,SAT-47-2,SAT-38-14,20,0,76.74622375605043
26,SAT-45-17,SAT-13-11,39,0,78.79167342815876
27,SAT-39-16,SAT-38-14,4,0,14.363851825876772
28,SAT-55-6,SAT-33-12,29,0,66.55228686507834
29,SAT-37-20,SAT-17-1,24,0,56.07625521851897
30,SAT-46-0,SAT-20-11,38,0,104.23747531769618
31,SAT-9-20,SAT-17-8,19,0,75.50989530236708
32,SAT-42-9,SAT-50-8,10,0,19.44552301561357
33,SAT-71-0,SAT-18-16,26,0,62.782283519875755
34,SAT-32-8,SAT-4-3,34,0,67.29243442040347
35,SAT-2-14,SAT-54-3,32,0,96.8450453249065
36,SAT-50-5,SAT-54-11,11,0,44.32012390351154
37,SAT-25-0,SAT-45-8,29,0,77.13967348311306
