index,source,destination,hops,fail count,delay,overhead_signal
0,SAT-17-12,SAT-17-1,12,0,72.23047301722315,0
1,SAT-8-10,SAT-29-3,29,0,71.84993329422967,0
2,SAT-25-6,SAT-9-2,21,0,45.98759746884059,0
3,SAT-13-15,SAT-3-4,22,0,84.55670484042507,0
4,SAT-28-11,SAT-31-13,6,0,18.578792410097407,0
5,SAT-36-15,SAT-65-5,98,29,486.60220296354515,377
6,SAT-27-16,SAT-8-10,26,1,65.66204258973461,13
7,SAT-14-17,SAT-17-1,10,1,43.54995389961502,13
8,SAT-56-12,SAT-13-15,33,0,59.785771498135155,0
9,SAT-28-11,SAT-31-13,6,0,18.576668311425333,0
10,SAT-3-4,SAT-36-15,45,0,112.88589059202623,0
11,SAT-9-2,SAT-27-1,20,0,39.216774620226005,0
12,SAT-17-12,SAT-42-7,31,0,67.44731159679442,0
13,SAT-31-13,SAT-68-8,41,0,89.05634481823722,0
14,SAT-11-21,SAT-29-3,23,0,55.11827572226533,0
15,SAT-36-14,SAT-29-3,19,2,81.92816989973011,26
16,SAT-12-4,SAT-13-15,13,2,73.6158582861527,26
17,SAT-55-9,SAT-27-1,37,1,91.19241793538485,13
18,SAT-5-8,SAT-8-10,6,0,17.954651428081206,0
19,SAT-35-5,SAT-68-8,37,2,65.41693378846377,26
20,SAT-69-12,SAT-70-7,7,0,34.21819360618417,0
21,SAT-13-15,SAT-16-2,13,0,62.79171220028314,0
22,SAT-17-1,SAT-24-21,10,0,26.848780561648375,0
23,SAT-28-11,SAT-12-4,24,1,68.04465378759838,13
24,SAT-35-5,SAT-65-5,91,30,435.3840370046876,390
25,SAT-29-3,SAT-36-14,19,2,81.93902903316733,26
26,SAT-50-11,SAT-6-20,38,2,97.93188380514066,26
27,SAT-41-12,SAT-5-8,41,0,84.1903360992428,0
28,SAT-65-5,SAT-57-18,18,1,70.1314283915578,13
29,SAT-61-1,SAT-10-5,30,2,81.6569211512675,26
30,SAT-9-7,SAT-35-5,81,26,390.42579529166966,338
31,SAT-42-7,SAT-62-18,32,2,99.98474771793174,26
32,SAT-16-2,SAT-17-1,3,0,8.377470164341005,0
33,SAT-58-11,SAT-65-5,28,7,140.9773196010635,91
34,SAT-41-12,SAT-14-6,142,54,785.7886488306433,702
35,SAT-21-3,SAT-8-7,18,2,44.31602118837599,26
36,SAT-10-5,SAT-23-11,20,2,57.4488344642341,26
37,SAT-41-12,SAT-14-6,142,54,785.7680004634158,702
38,SAT-42-7,SAT-45-5,12,3,56.66432463004236,39
39,SAT-30-13,SAT-51-1,32,2,94.82239617697245,26
40,SAT-56-12,SAT-27-16,38,2,92.82011351249373,26
41,SAT-24-21,SAT-53-14,37,1,85.89572435220647,13
42,SAT-42-7,SAT-60-9,21,0,38.13969215044677,0
43,SAT-9-7,SAT-10-2,7,1,34.20896001332652,13
44,SAT-69-12,SAT-65-5,20,4,104.00380686365774,52
45,SAT-36-15,SAT-38-3,13,2,68.44416875934606,26
46,SAT-67-20,SAT-24-18,32,0,53.44429778662163,0
47,SAT-19-16,SAT-61-5,46,2,140.1976352697308,26
48,SAT-50-11,SAT-51-4,9,1,47.3410106785798,13
49,SAT-21-3,SAT-41-12,30,2,86.89868354189062,26
50,SAT-22-4,SAT-36-17,76,26,419.51466168621175,338
51,SAT-62-7,SAT-31-5,96,31,462.8875079846808,403
52,SAT-16-2,SAT-70-7,24,2,57.86701484261441,26
53,SAT-31-13,SAT-61-1,41,2,107.22771577817649,26
54,SAT-55-19,SAT-62-18,9,0,16.302232836305418,0
55,SAT-50-6,SAT-50-11,6,0,32.832033189646246,0
56,SAT-10-3,SAT-64-19,25,0,68.10979440096214,0
57,SAT-68-18,SAT-25-3,37,0,86.32166450878961,0
58,SAT-21-17,SAT-25-6,24,5,130.32818378180144,65
59,SAT-11-2,SAT-62-19,27,0,66.73097513750474,0
60,SAT-46-9,SAT-36-14,16,0,48.77405550498973,0
61,SAT-47-9,SAT-3-4,34,1,71.30075391744536,13
62,SAT-51-1,SAT-49-6,12,3,61.882454718045835,39
63,SAT-63-17,SAT-16-2,33,1,80.77478367401984,13
64,SAT-58-11,SAT-40-12,20,0,41.77836948792728,0
65,SAT-19-16,SAT-38-16,58,19,275.6128201209915,247
66,SAT-47-15,SAT-27-16,26,2,60.69566374645061,26
67,SAT-52-13,SAT-3-4,33,1,90.67952612205683,13
68,SAT-18-20,SAT-13-15,11,1,39.697656315883805,13
69,SAT-68-18,SAT-62-7,18,2,80.58956218426536,26
70,SAT-61-1,SAT-50-11,22,2,80.99769819180118,26
71,SAT-16-2,SAT-62-7,32,2,69.0751629283024,26
72,SAT-0-12,SAT-56-12,17,0,31.28648500007544,0
73,SAT-12-4,SAT-45-5,39,2,78.83292862717065,26
74,SAT-8-6,SAT-5-8,6,1,17.314712861087354,13
75,SAT-38-3,SAT-62-19,31,0,77.59641419052484,0
76,SAT-50-11,SAT-36-14,18,0,41.981371625508494,0
77,SAT-10-5,SAT-64-14,28,2,84.20320446556477,26
78,SAT-36-15,SAT-28-11,13,0,37.23851791388625,0
79,SAT-47-15,SAT-51-4,16,2,77.80948295593421,26
80,SAT-8-7,SAT-32-10,28,0,53.19216530441697,0
81,SAT-27-1,SAT-10-9,26,2,76.25542275513052,26
82,SAT-9-7,SAT-38-18,41,2,112.70111536423221,26
83,SAT-68-9,SAT-51-4,23,1,56.13659341896343,13
84,SAT-19-16,SAT-58-11,39,1,78.07029716420409,13
85,SAT-17-1,SAT-15-19,7,0,29.504511120300897,0
86,SAT-40-12,SAT-55-9,19,0,47.10738279736286,0
87,SAT-10-9,SAT-7-18,13,2,63.28664146988611,26
88,SAT-21-17,SAT-12-6,39,10,202.99273768551822,130
89,SAT-14-17,SAT-22-4,18,1,70.2682776840899,13
90,SAT-13-8,SAT-36-14,30,0,75.94454359126053,0
91,SAT-41-1,SAT-61-9,29,2,80.47357378363361,26
92,SAT-7-1,SAT-69-12,22,2,86.20163335732212,26
93,SAT-29-13,SAT-14-6,83,30,460.4894943142538,390
94,SAT-58-16,SAT-6-20,25,2,54.20794723191611,26
95,SAT-53-14,SAT-62-18,14,2,38.84677838655847,26
96,SAT-68-9,SAT-60-9,9,0,14.628718963996679,0
97,SAT-65-2,SAT-31-8,41,2,86.92723564809118,26
98,SAT-43-9,SAT-24-18,29,2,85.65786917047524,26
99,SAT-47-13,SAT-10-14,37,0,62.149452563413334,0
100,SAT-27-16,SAT-47-10,27,1,66.7553993302682,13
101,SAT-50-6,SAT-38-16,27,2,108.7140498958626,26
102,SAT-40-12,SAT-44-21,14,2,64.69244539631525,26
103,SAT-62-7,SAT-13-10,27,0,51.86923742975537,0
104,SAT-38-8,SAT-2-20,47,1,114.90659348413939,13
105,SAT-51-1,SAT-12-4,37,0,64.81347649015878,0
106,SAT-19-15,SAT-29-3,21,2,79.6589462952166,26
107,SAT-46-15,SAT-24-21,29,2,70.18717564260696,26
108,SAT-62-18,SAT-34-19,30,0,45.75207040251545,0
109,SAT-42-10,SAT-25-6,88,33,482.7484055510245,429
110,SAT-7-18,SAT-8-7,13,2,73.63075350486893,26
111,SAT-39-20,SAT-31-5,20,2,83.43271691838044,26
112,SAT-66-5,SAT-11-11,24,2,63.203208117531574,26
113,SAT-19-16,SAT-45-5,42,2,134.90339224769892,26
114,SAT-49-6,SAT-24-17,85,25,422.2650016168021,325
115,SAT-61-9,SAT-44-21,28,1,88.8793266242193,13
116,SAT-48-14,SAT-14-13,36,0,60.44245954272785,0
117,SAT-26-13,SAT-6-20,28,2,73.98632439653451,26
118,SAT-18-20,SAT-17-1,5,0,21.53055550639098,0
119,SAT-68-18,SAT-31-8,46,1,113.4601904129639,13
120,SAT-68-18,SAT-0-14,9,1,31.72505737344441,13
