index,source,destination,hops,fail count,delay
0,SAT-24-0,SAT-43-11,31,0,95.65031348130677
1,SAT-28-9,SAT-4-20,36,0,101.81342939290784
2,SAT-40-18,SAT-28-18,13,0,16.59679125023831
3,SAT-22-12,SAT-30-3,18,0,68.95864519992593
4,SAT-58-15,SAT-39-21,26,0,62.818280291659924
5,SAT-40-18,SAT-31-19,11,0,19.020948854045592
6,SAT-45-12,SAT-28-18,24,0,60.34756712349245
7,SAT-51-16,SAT-57-3,16,0,66.49146937521719
8,SAT-13-18,SAT-28-9,25,0,77.58218382599634
9,SAT-22-12,SAT-4-20,27,0,74.71268200499341
10,SAT-57-1,SAT-40-18,23,0,56.370422506507296
11,SAT-57-3,SAT-31-19,33,0,81.07448862947861
12,SAT-59-5,SAT-47-2,16,0,34.48300812280749
13,SAT-2-9,SAT-56-20,30,0,94.40615533075217
14,SAT-5-19,SAT-36-9,42,0,103.85551925259371
15,SAT-4-0,SAT-5-19,5,0,21.306499297862374
16,SAT-28-18,SAT-4-21,28,0,52.948466368097705
17,SAT-13-18,SAT-32-1,25,0,59.15435329930876
18,SAT-2-9,SAT-30-3,35,0,73.88507161503152
19,SAT-56-20,SAT-2-4,25,0,64.25204579097284
20,SAT-32-1,SAT-66-15,43,0,94.39718097118242
21,SAT-57-3,SAT-56-16,11,0,60.32901056100412
22,SAT-4-21,SAT-30-3,31,0,67.89635376558026
23,SAT-34-16,SAT-51-16,18,0,20.93296393387378
24,SAT-24-18,SAT-53-11,37,0,81.67402023505498
25,SAT-37-15,SAT-17-16,22,0,31.18717763829316
26,SAT-32-1,SAT-2-17,37,0,76.42641306053405
27,SAT-4-18,SAT-34-1,36,0,74.44013040083593
28,SAT-51-16,SAT-31-19,24,0,44.319990914152235
29,SAT-38-19,SAT-24-18,16,0,25.983518669817542
30,SAT-29-15,SAT-62-17,36,0,53.74685758353614
31,SAT-39-21,SAT-38-19,4,0,14.742702823069253
32,SAT-64-11,SAT-5-19,22,0,68.53072510342928
33,SAT-71-0,SAT-71-11,12,0,72.23047301722296
34,SAT-1-2,SAT-23-1,24,0,46.40980421898683
35,SAT-70-8,SAT-23-1,33,0,76.72537194010329
36,SAT-25-9,SAT-48-10,25,0,48.43227123796915
37,SAT-66-15,SAT-45-12,25,0,48.630720600039425
38,SAT-4-0,SAT-24-0,21,0,40.25121909736729
39,SAT-53-11,SAT-56-16,9,0,36.52329624659862
40,SAT-23-18,SAT-48-10,34,0,83.28414720449005
41,SAT-13-18,SAT-62-12,30,0,67.69110240054691
42,SAT-43-3,SAT-11-17,41,0,92.06018025012841
43,SAT-21-0,SAT-13-18,13,0,37.379794940423665
44,SAT-28-9,SAT-41-5,18,0,42.257131484265614
45,SAT-45-12,SAT-29-15,20,0,41.71784732298272
46,SAT-57-3,SAT-46-2,13,0,24.1314357266375
47,SAT-22-12,SAT-4-18,25,0,61.5350711952932
48,SAT-21-0,SAT-24-7,11,0,49.65428502679201
49,SAT-66-19,SAT-64-11,11,0,54.990878810959124
50,SAT-58-15,SAT-65-2,17,0,67.70424578063688
51,SAT-23-1,SAT-56-20,37,0,79.83684649154372
52,SAT-38-19,SAT-34-1,9,0,32.719093114196454
53,SAT-4-0,SAT-13-18,14,0,38.783117378201275
54,SAT-36-9,SAT-28-9,9,0,14.578818564304305
55,SAT-41-5,SAT-52-2,15,0,33.22057479257207
56,SAT-34-21,SAT-26-16,14,0,42.665745828762276
57,SAT-56-16,SAT-66-19,14,0,31.9913607126824
58,SAT-51-16,SAT-12-3,43,0,99.66172437771559
59,SAT-69-2,SAT-70-8,8,0,40.62765390746542
60,SAT-52-2,SAT-32-3,22,0,38.45045126861417
61,SAT-43-3,SAT-57-8,20,0,50.03688830595618
62,SAT-62-12,SAT-22-12,33,0,62.59904506666296
63,SAT-34-1,SAT-56-20,26,0,59.82162153417426
64,SAT-2-9,SAT-23-18,31,0,84.9049424158289
65,SAT-33-14,SAT-28-18,10,0,32.40875016447822
66,SAT-38-19,SAT-52-2,20,0,55.45564098215581
67,SAT-14-11,SAT-12-13,5,0,16.744905594401455
68,SAT-30-3,SAT-24-18,14,0,54.32393563254729
69,SAT-18-4,SAT-70-1,24,0,47.16171241873885
70,SAT-35-11,SAT-32-3,12,0,56.216253852010524
71,SAT-71-11,SAT-22-21,34,0,93.91573878504181
72,SAT-23-12,SAT-16-8,12,0,37.58350614407868
73,SAT-22-12,SAT-4-21,28,0,81.2076642328194
74,SAT-30-9,SAT-10-19,31,0,90.23073803646602
75,SAT-26-12,SAT-49-9,27,0,61.69325861784664
76,SAT-2-10,SAT-21-0,30,0,88.99691770437556
77,SAT-46-21,SAT-0-4,32,0,68.49393011669342
78,SAT-65-2,SAT-70-1,7,0,15.589426723304317
79,SAT-59-11,SAT-4-8,21,0,47.20024990096712
80,SAT-57-1,SAT-23-18,40,0,80.28037249303854
81,SAT-12-1,SAT-65-21,22,0,50.26992674611607
82,SAT-71-0,SAT-11-17,18,0,47.68900966120901
83,SAT-26-10,SAT-2-10,25,0,47.208979874481564
84,SAT-13-18,SAT-7-13,12,0,40.1985835702948
85,SAT-37-13,SAT-67-15,33,0,54.23589325627314
86,SAT-12-1,SAT-61-12,35,0,100.46238321577019
87,SAT-39-21,SAT-5-19,37,0,68.19385094176636
88,SAT-18-13,SAT-56-16,38,0,61.43334803338062
89,SAT-22-21,SAT-47-19,28,0,53.618870383143765
90,SAT-59-11,SAT-16-8,33,0,66.6881870119987
91,SAT-58-15,SAT-70-8,20,0,62.39704612389363
92,SAT-11-16,SAT-32-5,33,0,98.0015194786314
93,SAT-25-9,SAT-28-9,4,0,5.483702626410119
94,SAT-50-17,SAT-35-17,16,0,18.58206997925987
95,SAT-1-18,SAT-48-2,32,0,74.34608381324887
96,SAT-2-4,SAT-32-5,32,0,43.37380852677527
97,SAT-68-7,SAT-62-10,10,0,28.086654470348567
98,SAT-2-10,SAT-0-15,8,0,35.56923000182225
99,SAT-12-1,SAT-33-21,24,0,54.153036184796704
100,SAT-22-17,SAT-69-7,36,0,96.3299784389378
101,SAT-52-21,SAT-36-10,28,0,91.85665673539589
102,SAT-10-19,SAT-0-4,18,0,59.643326216852685
103,SAT-29-3,SAT-0-15,40,0,101.23652436848145
104,SAT-70-1,SAT-5-4,11,0,29.274155739730688
105,SAT-33-7,SAT-55-4,26,0,46.67918281040786
106,SAT-22-21,SAT-61-13,42,0,93.0011974483649
107,SAT-61-21,SAT-1-18,16,0,36.49307581289646
108,SAT-4-18,SAT-14-11,18,0,58.22846596396919
109,SAT-50-17,SAT-56-17,7,0,7.439439025256546
110,SAT-34-21,SAT-10-19,27,0,52.10339425754333
111,SAT-1-2,SAT-57-3,18,0,31.933835011475505
