index,source,destination,hops,fail count,delay
0,SAT-71-7,SAT-12-9,16,0,31.112670463616922
1,SAT-1-5,SAT-57-1,21,0,45.98759746884062
2,SAT-68-21,SAT-30-14,42,0,87.87403466439223
3,SAT-0-9,SAT-70-4,8,0,35.297279554287265
4,SAT-61-3,SAT-70-2,11,0,21.008412578771285
5,SAT-1-5,SAT-33-4,36,0,71.02069952691964
6,SAT-33-6,SAT-46-11,19,0,53.70403000579206
7,SAT-70-2,SAT-12-9,22,0,68.44238149827737
8,SAT-57-1,SAT-30-14,37,0,102.40015816494412
9,SAT-68-21,SAT-71-7,14,0,70.48068102917337
10,SAT-71-7,SAT-61-3,15,0,40.08087518696571
11,SAT-24-10,SAT-67-18,38,0,88.29617844399856
12,SAT-0-9,SAT-33-2,41,0,91.55516696182453
13,SAT-33-4,SAT-70-2,38,0,61.48618349922735
14,SAT-68-21,SAT-40-5,37,0,87.06290515639313
15,SAT-15-5,SAT-31-18,26,0,84.73051539954675
16,SAT-44-8,SAT-60-13,22,0,58.54850333483323
17,SAT-26-1,SAT-48-20,26,0,59.683000557829175
18,SAT-46-11,SAT-61-3,24,0,76.56205528298074
19,SAT-18-20,SAT-20-8,13,0,68.87862514744204
20,SAT-60-12,SAT-23-16,42,0,82.5860822111791
21,SAT-30-14,SAT-1-5,39,0,94.88170628777823
22,SAT-46-11,SAT-18-20,38,0,93.64777364824673
23,SAT-2-12,SAT-44-8,35,0,74.51011617188206
24,SAT-9-0,SAT-68-21,15,0,32.079403282416514
25,SAT-9-0,SAT-33-2,27,0,56.61544775378209
26,SAT-67-18,SAT-70-4,12,0,57.332183012315625
27,SAT-52-8,SAT-70-2,25,0,68.2040192808578
28,SAT-26-1,SAT-18-20,12,0,34.250034035680564
29,SAT-60-12,SAT-2-5,26,0,94.63481259199784
30,SAT-49-12,SAT-43-11,8,0,18.318194597675962
31,SAT-68-21,SAT-24-10,40,0,117.01473543895963
32,SAT-18-20,SAT-70-2,25,0,62.486897079951724
33,SAT-58-12,SAT-57-4,12,0,67.26350432292728
34,SAT-33-15,SAT-46-11,18,0,47.05831981895263
35,SAT-70-20,SAT-33-4,42,0,95.34824079110199
36,SAT-33-8,SAT-21-4,19,0,58.58122872935647
37,SAT-57-4,SAT-19-8,39,0,81.03143808949942
38,SAT-18-8,SAT-60-12,35,0,74.58840143799596
39,SAT-71-7,SAT-23-16,34,0,97.46323754492416
40,SAT-60-13,SAT-57-1,14,0,70.49895203786208
41,SAT-29-19,SAT-47-3,25,0,68.15692045257651
42,SAT-7-2,SAT-43-11,46,0,117.11628764418039
43,SAT-53-7,SAT-18-8,37,0,62.97340598788907
44,SAT-0-9,SAT-71-7,4,0,14.744441828714283
45,SAT-63-9,SAT-33-8,32,0,54.94133803884556
46,SAT-54-13,SAT-48-20,14,0,55.63983274568893
47,SAT-28-13,SAT-5-6,31,0,83.05229387287416
48,SAT-26-1,SAT-2-5,29,0,64.58932638162632
49,SAT-47-3,SAT-70-4,25,0,43.29328564159211
50,SAT-12-8,SAT-67-10,20,0,40.56004616639287
51,SAT-33-6,SAT-43-10,15,0,42.39929295791347
52,SAT-70-4,SAT-27-15,41,0,118.5129685054874
53,SAT-27-6,SAT-0-10,32,0,69.82652584844756
54,SAT-29-19,SAT-16-2,19,0,53.805799517702575
55,SAT-19-16,SAT-25-11,12,0,42.40248471410868
56,SAT-58-12,SAT-47-10,14,0,34.655693757699694
57,SAT-52-13,SAT-47-0,15,0,67.16883639561658
58,SAT-9-0,SAT-27-15,28,0,87.80901431474986
59,SAT-15-5,SAT-36-3,24,0,46.629393611475756
60,SAT-12-8,SAT-66-6,21,0,42.2046813210768
61,SAT-5-6,SAT-33-6,35,0,84.03610231053582
62,SAT-27-6,SAT-63-9,40,0,77.84295600422487
63,SAT-71-7,SAT-58-0,21,0,66.68947547545106
64,SAT-54-11,SAT-29-9,28,0,58.726451480842535
65,SAT-20-8,SAT-60-7,34,0,58.277510163662676
66,SAT-0-9,SAT-35-17,48,0,135.35589913642417
67,SAT-23-10,SAT-38-0,26,0,89.56400222793013
68,SAT-21-4,SAT-17-13,14,0,65.56154768208046
69,SAT-64-3,SAT-24-10,40,0,97.67594999123939
70,SAT-27-15,SAT-70-20,35,0,79.72039150085668
71,SAT-63-9,SAT-67-0,14,0,65.46748267387449
72,SAT-28-13,SAT-38-0,20,0,75.26605915902368
73,SAT-30-4,SAT-33-2,6,0,17.91018047524213
74,SAT-11-10,SAT-52-8,34,0,63.25485147060112
75,SAT-33-8,SAT-8-1,33,0,85.75440309357624
76,SAT-15-5,SAT-16-2,5,0,21.29080217891149
77,SAT-53-7,SAT-15-9,37,0,68.13487325021579
78,SAT-23-10,SAT-8-15,21,0,56.705767166490155
79,SAT-29-9,SAT-11-10,20,0,39.43130649327953
80,SAT-40-3,SAT-1-13,44,0,119.0770445161748
81,SAT-31-12,SAT-12-8,24,0,57.018553357800705
82,SAT-67-0,SAT-44-18,28,0,63.492853738029325
83,SAT-40-18,SAT-55-19,17,0,30.845033063784598
84,SAT-61-3,SAT-52-4,11,0,20.882784546442437
85,SAT-7-19,SAT-27-6,30,0,90.89435796557179
86,SAT-67-18,SAT-8-15,19,0,53.499887035380056
87,SAT-29-19,SAT-19-16,18,0,61.86319557760695
88,SAT-60-7,SAT-40-10,24,0,52.08806559961517
89,SAT-9-15,SAT-69-2,22,0,78.53096715286061
90,SAT-35-7,SAT-22-18,25,0,92.88696644887153
91,SAT-27-15,SAT-14-12,17,0,40.35571334543626
92,SAT-12-9,SAT-32-0,30,0,90.87688040543665
93,SAT-29-9,SAT-67-18,46,0,127.32098616684948
94,SAT-5-16,SAT-28-14,26,0,49.678917039541204
95,SAT-33-4,SAT-22-10,18,0,57.231374390033274
96,SAT-33-8,SAT-43-10,13,0,29.344571969002402
97,SAT-62-19,SAT-52-13,17,0,55.27931009199997
98,SAT-9-15,SAT-28-18,25,0,63.6343747066188
99,SAT-21-21,SAT-8-14,21,0,66.60997780925548
100,SAT-66-13,SAT-20-8,32,0,75.00513188917579
101,SAT-30-14,SAT-26-1,14,0,65.58582877206081
102,SAT-23-19,SAT-8-9,26,0,89.4722598027125
