index,source,destination,hops,fail count,delay
0,SAT-5-9,SAT-33-11,31,0,63.96195186208615
1,SAT-11-19,SAT-22-21,14,0,30.784153870221083
2,SAT-68-5,SAT-54-15,25,0,82.92079093177647
3,SAT-29-12,SAT-11-13,20,0,39.24228144336128
4,SAT-50-17,SAT-71-18,23,0,32.45149346665344
5,SAT-9-11,SAT-54-15,32,0,63.58758837162677
6,SAT-71-18,SAT-22-21,27,0,51.52749446608505
7,SAT-68-5,SAT-67-2,5,0,20.931521519430287
8,SAT-43-14,SAT-41-21,10,0,48.4294496767899
9,SAT-11-13,SAT-5-9,11,0,37.15333662285071
10,SAT-43-14,SAT-41-21,10,0,48.42881116700885
11,SAT-51-10,SAT-67-2,25,0,72.24297071546073
12,SAT-18-7,SAT-5-9,16,0,31.13275804757541
13,SAT-48-14,SAT-48-6,9,0,52.531253103434906
14,SAT-28-16,SAT-32-1,12,0,50.892775868512174
15,SAT-5-9,SAT-29-12,28,0,63.31788970728735
16,SAT-3-13,SAT-11-13,25,0,114.91582957471402
17,SAT-54-15,SAT-43-14,13,0,21.75472139333841
18,SAT-28-2,SAT-71-18,36,0,79.57461262653376
19,SAT-42-12,SAT-41-21,11,0,60.329325162344944
20,SAT-41-21,SAT-41-5,7,0,39.398439827576475
21,SAT-68-5,SAT-67-2,5,0,20.930570733427896
22,SAT-40-16,SAT-47-17,9,0,15.185862375406803
23,SAT-33-11,SAT-22-21,22,0,79.20892539532971
24,SAT-48-14,SAT-40-4,19,0,75.5148729364107
25,SAT-20-9,SAT-58-14,40,0,87.24257215695681
26,SAT-36-10,SAT-63-7,31,0,57.146507403858024
27,SAT-50-17,SAT-47-17,26,0,148.15406168450087
28,SAT-43-14,SAT-29-12,17,0,35.537152850633525
29,SAT-28-16,SAT-39-19,15,0,33.240643963988404
30,SAT-57-14,SAT-42-12,18,0,37.12438243036068
31,SAT-63-7,SAT-49-13,21,0,58.82643211807234
32,SAT-28-2,SAT-4-18,31,0,72.70356946842716
33,SAT-18-7,SAT-50-12,38,0,77.23887271078121
34,SAT-22-21,SAT-43-14,29,0,71.81014738857304
