gamma,packets,avg hops,avg prop,sum fails,avg fails,sum overhead msg,avg overhead msg,,,,,,,,,,
0.001,99721,30.36261169,131.3169869,178242,1.787406865,847005984,8493.757423,,,,,,,,,,
0.001025,99816,29.59944298,125.6517893,169693,1.700058107,806381136,8078.676124,,,,,,,,,,
0.00105,99880,28.95901081,121.0716207,160908,1.611013216,764634816,7655.534802,,,,,,,,,,
0.001075,99984,28.41455633,117.2248503,156123,1.561479837,741896496,7420.152184,,,,0.001,30.36261169,131.3169869,178242,1.787406865,847005984,8.47006E+11
0.0011,100025,27.92712822,113.3276081,142825,1.427893027,678704400,6785.347663,,,,0.001025,29.59944298,125.6517893,169693,1.700058107,806381136,7.86713E+11
0.001125,100041,27.35412481,109.5003495,130836,1.307823792,621732672,6214.778661,,,,0.00105,28.95901081,121.0716207,160908,1.611013216,764634816,7.28224E+11
0.00115,100050,26.92584708,106.0253451,114714,1.146566717,545120928,5448.485037,,,,0.001075,28.41455633,117.2248503,156123,1.561479837,741896496,6.90136E+11
0.001175,100049,26.48110426,102.7997556,100014,0.999650171,475266528,4750.337615,,,,0.0011,27.92712822,113.3276081,142825,1.427893027,678704400,6.17004E+11
0.0012,100050,26.02064968,99.25000609,82235,0.82193903,390780720,3905.854273,,,,0.001125,27.35412481,109.5003495,130836,1.307823792,621732672,5.52651E+11
0.001225,100050,25.57253373,95.87342945,63184,0.631524238,300250368,3001.003178,,,,0.00115,26.92584708,106.0253451,114714,1.146566717,545120928,4.74018E+11
0.00125,100050,25.0997901,92.08847321,37581,0.375622189,178584912,1784.956642,,,,0.001175,26.48110426,102.7997556,100014,0.999650171,475266528,4.04482E+11
,,,,,,,,,,,0.0012,26.02064968,99.25000609,82235,0.82193903,390780720,3.25651E+11
,,,,,,,,,,,0.001225,25.57253373,95.87342945,63184,0.631524238,300250368,2.45102E+11
,,,,,,,,,,,0.00125,25.0997901,92.08847321,37581,0.375622189,178584912,1.42868E+11
