index,source,destination,hops,fail count,delay,overhead_signal
0,SAT-44-12,SAT-59-8,20,0,50.33563645312066,0
1,SAT-46-15,SAT-19-6,37,0,92.37848566400969,0
2,SAT-13-1,SAT-34-15,30,0,78.41633993215906,0
3,SAT-17-21,SAT-11-17,11,0,33.66136564563867,0
4,SAT-11-1,SAT-12-5,6,0,27.498249734037692,0
5,SAT-12-5,SAT-10-17,13,2,68.87165885511455,9504
6,SAT-36-11,SAT-65-20,39,3,105.65826802353457,14256
7,SAT-5-9,SAT-13-1,17,0,65.36162300671782,0
8,SAT-34-15,SAT-11-1,32,3,89.45863208584576,14256
9,SAT-29-20,SAT-46-15,25,1,73.22938250998178,4752
10,SAT-29-20,SAT-32-12,12,1,56.67582769400948,4752
11,SAT-13-1,SAT-34-15,30,0,81.54327523745613,0
12,SAT-46-16,SAT-11-17,37,0,49.730971704126844,0
13,SAT-12-5,SAT-10-17,13,0,68.42711610634352,0
14,SAT-5-9,SAT-11-1,15,1,60.820402284583835,4752
15,SAT-65-20,SAT-36-11,39,2,105.55721062181951,9504
16,SAT-11-1,SAT-5-9,15,3,62.17492940787976,14256
17,SAT-39-9,SAT-36-3,10,2,44.20460026348533,9504
18,SAT-13-2,SAT-12-5,11,3,60.70493912543829,14256
19,SAT-59-8,SAT-13-1,34,1,87.61823691005155,4752
20,SAT-31-10,SAT-36-11,7,0,16.379097655039747,0
21,SAT-39-9,SAT-53-3,21,0,61.814985250425295,0
22,SAT-46-16,SAT-12-5,46,0,114.18418276129445,0
23,SAT-13-16,SAT-0-2,22,1,68.57237741734474,4752
24,SAT-65-20,SAT-70-6,14,1,58.70091630109278,4752
25,SAT-13-11,SAT-53-15,59,1,221.93649161422007,4752
26,SAT-53-3,SAT-11-17,83,2,389.72373646193194,9504
27,SAT-56-12,SAT-13-16,40,3,112.32563795924477,14256
28,SAT-51-2,SAT-45-21,10,0,30.569878533269083,0
29,SAT-63-1,SAT-32-12,43,1,121.8400820756527,4752
30,SAT-26-3,SAT-11-8,21,3,56.98037639780461,14256
31,SAT-65-20,SAT-46-16,24,0,49.72304955478587,0
32,SAT-0-16,SAT-32-12,37,1,77.44764074798779,4752
33,SAT-28-6,SAT-36-3,12,2,32.494723462855944,9504
34,SAT-28-11,SAT-59-8,35,0,69.60579587731443,0
35,SAT-45-14,SAT-11-17,42,3,100.73065800328773,14256
36,SAT-44-7,SAT-39-2,11,2,40.82486189872219,9504
37,SAT-70-17,SAT-53-15,22,2,53.44124416257242,9504
38,SAT-65-20,SAT-13-11,30,0,91.06897457766456,0
39,SAT-29-20,SAT-16-1,17,0,43.36253468772388,0
40,SAT-26-3,SAT-28-6,10,3,49.188103571216985,14256
41,SAT-32-8,SAT-34-15,32,1,193.62117923606345,4752
42,SAT-55-6,SAT-31-10,29,2,64.94471182026115,9504
43,SAT-70-17,SAT-30-10,40,0,97.09103424328336,0
44,SAT-43-3,SAT-9-19,41,0,93.7200143414655,0
45,SAT-0-3,SAT-61-19,18,0,56.96346891628457,0
46,SAT-14-8,SAT-13-14,8,0,40.99526065382286,0
47,SAT-10-17,SAT-28-6,30,2,100.97324788965395,9504
48,SAT-51-2,SAT-32-12,30,3,96.30152293320717,14256
49,SAT-0-16,SAT-32-8,41,0,103.62951954331295,0
50,SAT-49-14,SAT-12-5,49,1,141.22147050305676,4752
51,SAT-12-5,SAT-13-16,13,2,73.82642113750869,9504
52,SAT-0-16,SAT-21-11,27,0,66.3469437156313,0
53,SAT-9-8,SAT-22-15,21,0,66.71217202921085,0
54,SAT-56-12,SAT-70-6,27,3,101.14015333914236,14256
55,SAT-51-2,SAT-70-6,28,3,83.20172438959102,14256
56,SAT-59-21,SAT-13-1,29,0,64.00507623293763,0
57,SAT-27-14,SAT-19-6,23,3,104.69029496362776,14256
58,SAT-46-16,SAT-37-6,20,2,80.01974366598586,9504
59,SAT-34-15,SAT-43-3,20,3,80.19218435694667,14256
60,SAT-45-11,SAT-8-1,46,1,121.46114448299178,4752
61,SAT-60-9,SAT-24-11,39,0,78.7876522910354,0
62,SAT-49-8,SAT-53-3,10,1,39.20884211578358,4752
63,SAT-22-12,SAT-39-8,22,0,53.72239081664632,0
64,SAT-61-9,SAT-68-16,59,2,346.04615415513774,9504
65,SAT-25-19,SAT-9-8,28,2,97.72373792243555,9504
66,SAT-18-8,SAT-6-16,65,2,360.57309385123705,9504
67,SAT-13-18,SAT-11-8,13,2,68.8507244924453,9504
68,SAT-44-7,SAT-56-16,66,2,367.13950048916564,9504
69,SAT-48-7,SAT-30-13,25,1,68.48593556080091,4752
70,SAT-18-8,SAT-44-9,28,0,48.604245123842304,0
71,SAT-22-12,SAT-46-15,28,0,57.91815750885215,0
72,SAT-50-21,SAT-12-5,47,3,133.76943767519165,14256
73,SAT-21-11,SAT-28-19,16,2,63.8491326957962,9504
74,SAT-65-20,SAT-70-17,53,2,316.70531169151,9504
75,SAT-17-20,SAT-69-0,23,0,49.64936867069272,0
76,SAT-30-10,SAT-32-13,6,0,23.308427947938185,0
77,SAT-43-1,SAT-67-18,52,1,216.1179627354051,4752
78,SAT-71-0,SAT-66-14,14,2,60.48916442904893,9504
79,SAT-65-5,SAT-20-16,39,2,115.2031941755408,9504
80,SAT-71-15,SAT-38-10,39,0,85.32541885419329,0
81,SAT-52-20,SAT-11-17,79,2,358.79693992944766,9504
82,SAT-40-19,SAT-66-14,32,2,74.19045825868196,9504
83,SAT-46-1,SAT-36-15,21,0,81.57115294430741,0
84,SAT-16-1,SAT-17-21,4,0,15.087398195346509,0
85,SAT-6-16,SAT-17-20,16,3,44.079491678922956,14256
86,SAT-44-12,SAT-14-8,35,0,74.8488950804595,0
87,SAT-22-19,SAT-29-20,9,0,17.90250262796919,0
88,SAT-61-17,SAT-0-16,17,2,50.3202172129585,9504
89,SAT-63-21,SAT-3-14,20,2,65.0428654000284,9504
90,SAT-39-12,SAT-32-13,9,0,19.18344253027583,0
91,SAT-46-15,SAT-20-16,32,2,74.14502005293825,9504
92,SAT-27-4,SAT-19-9,14,3,45.7945068719109,14256
93,SAT-7-1,SAT-71-20,12,0,34.322426917549045,0
94,SAT-35-16,SAT-61-19,30,2,61.82725938114936,9504
95,SAT-68-16,SAT-64-0,11,3,45.659873194946854,14256
96,SAT-37-6,SAT-35-14,11,2,55.773604842063605,9504
97,SAT-63-19,SAT-46-16,87,3,480.642047795471,14256
98,SAT-4-1,SAT-5-9,10,0,53.75816649972919,0
99,SAT-13-14,SAT-63-1,32,0,94.76352886628008,0
100,SAT-5-6,SAT-18-8,16,2,34.219362625622026,9504
101,SAT-24-11,SAT-71-0,37,2,111.9107953895876,9504
102,SAT-11-17,SAT-28-5,74,2,395.29349010450534,9504
103,SAT-70-6,SAT-68-18,13,2,68.83849216908419,9504
104,SAT-71-20,SAT-70-5,15,2,86.9853285507549,9504
105,SAT-53-19,SAT-30-10,33,2,95.58344851967644,9504
106,SAT-5-12,SAT-51-5,60,2,257.93622375758844,9504
107,SAT-24-13,SAT-17-4,41,2,227.79578954941692,9504
108,SAT-39-8,SAT-49-14,17,0,55.261826252930405,0
109,SAT-16-1,SAT-30-13,25,2,87.51283068209985,9504
110,SAT-10-18,SAT-27-14,22,0,53.21851919860867,0
111,SAT-43-16,SAT-13-13,34,0,67.26314811418636,0
112,SAT-27-2,SAT-51-2,75,4,367.2909128781509,19008
113,SAT-14-20,SAT-27-1,17,0,43.49767907920505,0
114,SAT-19-9,SAT-45-21,37,0,106.8861374863062,0
115,SAT-23-20,SAT-28-11,15,2,67.02060869795227,9504
116,SAT-49-15,SAT-52-14,5,1,11.320176011882209,4752
117,SAT-40-13,SAT-61-19,28,3,73.51587482367177,14256
118,SAT-13-16,SAT-45-11,38,0,83.53890651180905,0
119,SAT-43-1,SAT-8-1,76,1,318.11690821328875,4752
120,SAT-32-12,SAT-60-3,38,1,103.44168535380442,4752
121,SAT-39-9,SAT-26-11,16,0,36.94906609990588,0
122,SAT-65-15,SAT-52-14,15,1,27.154704243705126,4752
123,SAT-42-7,SAT-24-18,30,1,100.73734662522206,4752
124,SAT-70-17,SAT-63-19,10,2,24.511348488805616,9504
125,SAT-10-18,SAT-17-19,9,1,17.95099670792936,4752
126,SAT-54-11,SAT-20-16,84,2,375.57050241935474,9504
127,SAT-65-20,SAT-62-14,10,2,44.146961341764566,9504
128,SAT-46-15,SAT-27-2,29,3,89.77498335294207,14256
129,SAT-71-15,SAT-14-17,22,2,63.79398997757473,9504
130,SAT-53-1,SAT-69-0,18,0,37.77280749592212,0
131,SAT-39-8,SAT-3-14,43,0,96.3492053222182,0
132,SAT-45-14,SAT-20-7,41,4,138.04524227355458,19008
133,SAT-27-15,SAT-58-4,43,0,121.2714099709421,0
134,SAT-43-19,SAT-53-11,19,1,68.35091018527963,4752
135,SAT-12-15,SAT-32-8,28,1,77.58666276201191,4752
136,SAT-59-21,SAT-65-5,19,3,88.17954573899996,14256
137,SAT-47-7,SAT-5-6,38,1,93.39757091026569,4752
138,SAT-10-18,SAT-25-0,20,1,50.687112858463514,4752
139,SAT-21-20,SAT-61-9,44,1,122.82537909163078,4752
140,SAT-56-7,SAT-39-9,20,1,40.8251872905459,4752
141,SAT-30-9,SAT-33-6,13,3,63.838307227394054,14256
142,SAT-63-18,SAT-16-20,28,1,53.85689270922468,4752
143,SAT-66-19,SAT-52-12,22,2,68.087868066975,9504
144,SAT-27-14,SAT-11-14,39,2,169.7443992932689,9504
145,SAT-32-12,SAT-63-3,41,2,108.0572231082074,9504
146,SAT-57-0,SAT-13-2,31,0,63.376121925778975,0
147,SAT-31-3,SAT-58-15,40,2,121.4390800069179,9504
148,SAT-19-6,SAT-64-0,34,2,82.04064017934411,9504
149,SAT-23-20,SAT-43-16,69,2,347.7840578964437,9504
150,SAT-70-20,SAT-43-16,36,2,95.14982414525758,9504
151,SAT-53-1,SAT-39-8,22,3,68.79451266533584,14256
152,SAT-6-17,SAT-28-19,25,1,49.00800301845081,4752
153,SAT-16-19,SAT-32-12,24,1,71.2202959717728,4752
154,SAT-5-9,SAT-11-1,15,2,61.78398833836734,9504
155,SAT-13-14,SAT-70-5,29,2,109.02714160067536,9504
156,SAT-27-18,SAT-36-1,15,1,47.51601568738063,4752
157,SAT-46-15,SAT-66-6,56,2,261.3760394043173,9504
158,SAT-18-12,SAT-26-11,10,0,22.152454997739895,0
159,SAT-32-12,SAT-21-3,21,2,76.45115363359744,9504
160,SAT-8-1,SAT-63-1,68,4,356.07141178795297,19008
161,SAT-47-14,SAT-13-13,36,0,60.174717893025175,0
162,SAT-24-13,SAT-62-3,45,0,119.27237763438832,0
163,SAT-28-14,SAT-20-16,35,2,183.3402928814785,9504
164,SAT-65-8,SAT-17-4,31,0,77.23960071352617,0
165,SAT-70-6,SAT-42-17,40,2,116.35398314516702,9504
166,SAT-52-5,SAT-44-14,18,3,72.16389173545262,14256
167,SAT-56-12,SAT-71-11,17,0,35.777239524906435,0
168,SAT-47-18,SAT-42-3,13,1,54.13124146181157,4752
169,SAT-30-9,SAT-54-8,26,0,45.76510262019433,0
170,SAT-34-15,SAT-17-1,26,3,80.31165371443176,14256
171,SAT-40-16,SAT-14-20,31,0,68.7532980744196,0
172,SAT-63-21,SAT-56-7,18,3,77.10305486617315,14256
173,SAT-47-18,SAT-15-13,38,1,83.2308872517769,4752
174,SAT-66-21,SAT-44-9,33,0,101.61517305234942,0
175,SAT-19-12,SAT-27-1,20,2,84.8231823534884,9504
176,SAT-32-12,SAT-56-7,38,4,123.14141430188187,19008
177,SAT-37-6,SAT-17-20,29,0,84.01302644410323,0
178,SAT-9-19,SAT-29-19,33,0,110.27865299582015,0
179,SAT-1-6,SAT-5-12,11,2,45.93845222776822,9504
180,SAT-44-12,SAT-61-4,28,2,92.40868881208961,9504
181,SAT-52-5,SAT-28-11,31,1,78.65919163325657,4752
182,SAT-11-14,SAT-39-10,33,0,70.3155929116167,0
183,SAT-52-12,SAT-19-6,40,0,93.38197356038738,0
184,SAT-8-1,SAT-52-15,39,2,109.71403273919051,9504
185,SAT-21-20,SAT-36-1,19,0,47.31144022268951,0
186,SAT-12-15,SAT-61-19,28,2,63.910321892492064,9504
187,SAT-35-3,SAT-39-11,13,3,59.07815664096061,14256
188,SAT-49-15,SAT-7-13,33,1,60.302936634122595,4752
189,SAT-49-4,SAT-52-5,9,2,37.549045525475975,9504
190,SAT-47-19,SAT-34-15,20,2,59.827442630976456,9504
191,SAT-67-0,SAT-12-5,29,3,100.0694481734342,14256
192,SAT-17-19,SAT-50-21,36,0,67.17317681439266,0
193,SAT-24-18,SAT-43-16,26,2,69.25621315562137,9504
194,SAT-44-20,SAT-3-2,36,0,81.68592377416331,0
195,SAT-49-4,SAT-8-13,41,1,109.49801731484433,4752
196,SAT-49-15,SAT-28-11,26,0,59.247932864221205,0
197,SAT-59-8,SAT-71-4,19,1,58.24547200614943,4752
198,SAT-60-18,SAT-16-20,31,1,59.00933833466998,4752
199,SAT-27-18,SAT-63-18,77,1,319.19736205289087,4752
200,SAT-39-21,SAT-7-1,35,0,75.35075755526863,0
201,SAT-60-19,SAT-46-15,21,2,61.37438307142368,9504
202,SAT-23-13,SAT-44-12,23,0,44.077936597336326,0
203,SAT-48-7,SAT-14-8,36,1,62.30286264803741,4752
204,SAT-29-5,SAT-53-10,30,1,72.17541390266373,4752
205,SAT-7-19,SAT-7-13,7,0,39.39843982757627,0
206,SAT-70-5,SAT-69-0,7,2,34.40086759833896,9504
207,SAT-13-18,SAT-23-20,13,1,29.53448716453617,4752
208,SAT-23-13,SAT-24-12,3,0,8.35192453928912,0
209,SAT-31-10,SAT-3-8,31,0,59.05750016415539,0
210,SAT-39-1,SAT-37-14,12,2,62.23357684129622,9504
211,SAT-56-7,SAT-17-21,42,1,104.27388525232743,4752
212,SAT-12-1,SAT-50-21,37,0,79.20906162052788,0
213,SAT-26-3,SAT-68-18,60,1,239.65659942326832,4752
214,SAT-12-4,SAT-28-5,24,3,72.22127682460265,14256
215,SAT-63-3,SAT-17-1,29,0,53.87696242699543,0
216,SAT-59-21,SAT-9-16,32,2,93.57347825385943,9504
217,SAT-52-12,SAT-70-6,31,3,107.0043675290174,14256
218,SAT-21-11,SAT-24-21,14,3,70.58972453494357,14256
219,SAT-2-19,SAT-7-15,12,2,47.23385312586943,9504
220,SAT-47-18,SAT-66-5,93,3,509.10561266506534,14256
221,SAT-19-6,SAT-10-13,17,2,60.74955010325024,9504
222,SAT-14-8,SAT-1-15,21,0,66.3255341102881,0
223,SAT-0-1,SAT-34-15,45,0,118.91509560410226,0
224,SAT-6-18,SAT-56-9,32,1,93.55420806329973,4752
225,SAT-39-19,SAT-61-19,87,2,456.40929707919855,9504
226,SAT-37-10,SAT-70-6,38,0,80.50453492929375,0
227,SAT-45-11,SAT-6-10,35,0,71.80992748968939,0
228,SAT-1-15,SAT-8-16,11,1,30.656535519745603,4752
229,SAT-13-13,SAT-67-18,26,2,75.54970558054876,9504
230,SAT-19-16,SAT-45-7,36,2,99.55778364376573,9504
231,SAT-27-3,SAT-60-18,63,1,244.69301721299846,4752
232,SAT-61-4,SAT-61-17,10,0,59.09765974136676,0
233,SAT-13-21,SAT-35-4,36,4,121.0916374337912,19008
234,SAT-61-19,SAT-17-10,38,1,102.90239527944507,4752
235,SAT-27-1,SAT-35-16,20,2,84.73910394079653,9504
236,SAT-50-3,SAT-38-21,17,0,45.02857293708443,0
