index,source,destination,hops,fail count,delay,overhead_signal
0,SAT-60-12,SAT-23-2,46,0,108.80587776050056,0
1,SAT-51-4,SAT-53-6,5,0,15.598059640499134,0
2,SAT-48-5,SAT-14-17,45,0,107.57325457818044,0
3,SAT-30-18,SAT-55-15,29,0,50.51479947179294,0
4,SAT-56-16,SAT-6-14,25,0,40.25052328690301,0
5,SAT-14-17,SAT-31-10,25,0,66.91397376142184,0
6,SAT-51-4,SAT-60-12,18,0,63.62196755421414,0
7,SAT-6-14,SAT-39-7,41,0,91.63150125793165,0
8,SAT-10-5,SAT-46-1,41,0,70.62848435483421,0
9,SAT-48-5,SAT-56-16,20,0,82.08888586236026,0
10,SAT-30-18,SAT-51-4,30,0,81.5432752374563,0
11,SAT-23-2,SAT-60-12,46,0,108.78344865560003,0
12,SAT-15-8,SAT-54-5,37,0,60.35463748859111,0
13,SAT-37-20,SAT-48-5,19,0,59.51665232377343,0
14,SAT-49-17,SAT-53-6,16,0,77.15840242022946,0
15,SAT-37-20,SAT-29-15,14,0,42.68535655749114,0
16,SAT-50-4,SAT-39-10,18,0,52.946759458362116,0
17,SAT-18-19,SAT-56-16,38,0,61.57584422712686,0
18,SAT-40-12,SAT-15-8,30,0,66.44761115357119,0
19,SAT-52-1,SAT-60-12,20,0,82.08379638506764,0
20,SAT-47-3,SAT-52-1,8,0,21.138722355447676,0
21,SAT-29-18,SAT-15-8,25,0,82.90297785424863,0
22,SAT-65-18,SAT-68-3,11,0,50.12332771511827,0
23,SAT-61-12,SAT-9-10,23,0,52.32129123525735,0
24,SAT-52-3,SAT-10-17,39,0,89.54923228938037,0
25,SAT-14-19,SAT-29-14,21,0,51.29761143991978,0
26,SAT-61-12,SAT-52-1,21,0,83.30981996738674,0
27,SAT-47-3,SAT-6-20,37,0,82.44164224807653,0
28,SAT-56-16,SAT-40-12,21,0,45.96224335200874,0
29,SAT-14-17,SAT-41-7,38,0,98.90210722978499,0
30,SAT-29-18,SAT-30-7,13,0,73.46120163260693,0
31,SAT-47-3,SAT-40-15,18,0,74.27916668698276,0
32,SAT-49-17,SAT-58-16,11,0,17.642964176386943,0
33,SAT-60-4,SAT-34-3,28,0,42.40624348141222,0
34,SAT-38-14,SAT-61-12,26,0,49.919885979428265,0
35,SAT-23-4,SAT-29-0,11,0,34.5317696049322,0
36,SAT-46-1,SAT-29-14,27,0,80.01481706409099,0
37,SAT-68-7,SAT-11-5,18,0,31.589128560617507,0
38,SAT-40-15,SAT-48-5,19,0,75.50743453116512,0
39,SAT-40-12,SAT-49-17,15,0,43.90582236050215,0
40,SAT-30-7,SAT-3-15,36,0,89.7082773427775,0
41,SAT-60-4,SAT-55-15,17,0,78.38105183743413,0
42,SAT-53-6,SAT-46-1,13,0,41.44284353794246,0
43,SAT-48-5,SAT-38-3,13,0,25.433970916281005,0
44,SAT-29-11,SAT-71-9,33,0,67.76146615179819,0
45,SAT-35-20,SAT-9-10,37,0,97.63920057710723,0
46,SAT-30-18,SAT-28-17,4,0,9.037649223344776,0
47,SAT-56-16,SAT-23-2,42,0,93.11507727758301,0
48,SAT-44-0,SAT-60-12,27,0,85.34107203948696,0
49,SAT-48-5,SAT-18-19,39,0,89.42563871629694,0
50,SAT-55-3,SAT-19-15,47,0,109.92650886698245,0
51,SAT-14-17,SAT-38-14,28,0,49.20751490558026,0
52,SAT-68-14,SAT-28-2,43,0,105.00845970168368,0
53,SAT-50-3,SAT-61-7,16,0,39.79026175628941,0
54,SAT-23-4,SAT-9-21,20,0,52.0876707445114,0
55,SAT-46-1,SAT-55-3,12,0,27.488490562551434,0
56,SAT-13-4,SAT-50-12,44,0,95.55374589956394,0
57,SAT-48-5,SAT-10-15,45,0,107.45734509553387,0
58,SAT-47-5,SAT-17-11,37,0,76.27486222425807,0
59,SAT-31-10,SAT-40-12,12,0,30.742442761001342,0
60,SAT-61-20,SAT-36-14,32,0,70.12139539241446,0
61,SAT-38-11,SAT-60-12,24,0,49.60325012126018,0
62,SAT-19-17,SAT-17-11,9,0,41.85627627276335,0
63,SAT-47-5,SAT-47-8,4,0,19.69921991378745,0
64,SAT-61-7,SAT-60-12,7,0,34.22443067798677,0
65,SAT-49-17,SAT-10-15,36,0,53.67742912008307,0
66,SAT-59-17,SAT-10-17,46,0,172.7193146531485,0
67,SAT-52-1,SAT-33-18,25,0,59.302482218611615,0
68,SAT-29-11,SAT-23-2,16,0,66.46940807667771,0
69,SAT-3-12,SAT-47-5,36,0,80.36633869696837,0
70,SAT-11-5,SAT-31-1,25,0,50.83229820888983,0
71,SAT-53-6,SAT-50-4,6,0,16.817814024434643,0
72,SAT-47-8,SAT-47-5,4,0,19.699219913787335,0
73,SAT-68-7,SAT-19-17,34,0,93.91573878504101,0
74,SAT-44-7,SAT-24-12,26,0,60.711363757842236,0
75,SAT-67-9,SAT-34-11,36,0,73.385129677334,0
76,SAT-18-19,SAT-6-1,17,0,45.678118307373765,0
77,SAT-62-8,SAT-30-18,43,0,104.96150018995893,0
78,SAT-66-14,SAT-34-5,42,0,98.39509355202911,0
79,SAT-59-1,SAT-35-5,29,0,55.73870190971651,0
80,SAT-61-12,SAT-15-8,31,0,68.34857902319979,0
81,SAT-33-18,SAT-8-19,27,0,41.45489141983466,0
82,SAT-69-12,SAT-36-16,38,0,66.78165364528117,0
83,SAT-49-20,SAT-23-2,31,0,73.16654614156721,0
84,SAT-9-10,SAT-42-2,42,0,93.04728019699805,0
85,SAT-3-2,SAT-9-21,10,0,30.518168408928936,0
86,SAT-48-5,SAT-4-7,31,0,47.50209525669936,0
87,SAT-54-5,SAT-19-15,46,0,108.62566885534446,0
88,SAT-3-12,SAT-23-2,31,0,90.21355350846525,0
89,SAT-53-8,SAT-14-17,43,0,99.60431350449825,0
90,SAT-48-10,SAT-47-3,9,0,47.1920391541437,0
91,SAT-7-3,SAT-2-11,14,0,58.66721654662682,0
92,SAT-19-17,SAT-11-5,19,0,75.48160788840231,0
93,SAT-66-8,SAT-15-17,31,0,84.86870620277186,0
94,SAT-17-11,SAT-10-17,14,0,47.98878864804539,0
95,SAT-53-20,SAT-61-7,18,0,68.91296691172437,0
96,SAT-38-14,SAT-35-19,9,0,36.51277337853054,0
97,SAT-67-3,SAT-59-17,17,0,62.44461066611983,0
98,SAT-29-0,SAT-9-5,26,0,57.37030111554456,0
99,SAT-66-2,SAT-44-2,45,0,171.4530407529332,0
100,SAT-61-7,SAT-20-4,35,0,57.72495086774788,0
101,SAT-58-16,SAT-44-6,25,0,82.83697713269387,0
102,SAT-28-17,SAT-58-0,36,0,70.01814247651666,0
103,SAT-9-10,SAT-59-21,34,0,99.21647562971067,0
104,SAT-69-12,SAT-37-1,44,0,111.48284045356793,0
105,SAT-61-9,SAT-38-4,29,0,61.0383580361117,0
106,SAT-31-8,SAT-42-19,23,0,85.7204544655329,0
107,SAT-68-14,SAT-63-10,10,0,34.19731976439511,0
108,SAT-62-8,SAT-52-1,18,0,58.22846596396836,0
109,SAT-29-0,SAT-18-19,15,0,37.551212002032614,0
110,SAT-55-11,SAT-28-8,31,0,63.54112351818326,0
111,SAT-68-3,SAT-45-20,29,0,69.29771147661985,0
112,SAT-61-9,SAT-34-8,29,0,50.40831024232451,0
113,SAT-31-17,SAT-39-7,19,0,75.4727847920022,0
114,SAT-40-12,SAT-24-2,27,0,85.28150320471251,0
115,SAT-31-8,SAT-30-15,9,0,47.330450009326086,0
116,SAT-52-1,SAT-49-20,7,0,25.19322669159516,0
117,SAT-68-14,SAT-15-17,23,0,42.989800683326045,0
118,SAT-37-6,SAT-23-2,19,0,43.42710711874697,0
119,SAT-59-17,SAT-48-10,19,0,59.44886691102825,0
