index,source,destination,hops,fail count,delay,overhead_signal
0,SAT-7-4,SAT-60-12,28,0,75.95109356751868,0
1,SAT-0-0,SAT-55-4,22,0,49.77774748955514,0
2,SAT-7-15,SAT-59-14,22,0,34.227725388326576,0
3,SAT-32-11,SAT-41-0,21,0,83.32408165810486,0
4,SAT-24-0,SAT-26-2,5,0,16.763466032017856,0
5,SAT-14-20,SAT-28-0,17,0,38.55728127886291,0
6,SAT-35-18,SAT-68-14,40,3,99.28084521880878,14256
7,SAT-60-12,SAT-55-4,18,3,87.86997138109685,14256
8,SAT-24-0,SAT-26-2,5,0,16.762049966236482,0
9,SAT-0-0,SAT-59-14,24,3,89.25410486674909,14256
10,SAT-60-18,SAT-41-13,25,0,56.239697853927446,0
11,SAT-41-17,SAT-23-4,28,1,84.02066019451075,4752
12,SAT-24-14,SAT-24-0,9,0,52.53125310343508,0
13,SAT-65-8,SAT-32-11,37,1,79.6516232513506,4752
14,SAT-10-13,SAT-35-6,35,1,89.89721851015449,4752
15,SAT-57-9,SAT-31-8,40,6,132.50646917997344,28512
16,SAT-41-17,SAT-61-20,24,3,56.04811140837083,14256
17,SAT-43-18,SAT-24-14,26,3,73.84922732184334,14256
18,SAT-56-0,SAT-0-0,21,0,55.27681602057388,0
19,SAT-66-11,SAT-9-4,27,3,99.42846314427608,14256
20,SAT-18-21,SAT-42-13,33,2,90.95961668546208,9504
21,SAT-24-14,SAT-10-13,16,0,28.982952060778622,0
22,SAT-35-4,SAT-7-4,51,0,178.93876898435596,0
23,SAT-18-13,SAT-57-9,38,0,86.07774295299902,0
24,SAT-29-14,SAT-28-0,10,2,53.91741351997254,9504
25,SAT-35-4,SAT-57-9,28,4,72.84677202485031,19008
26,SAT-41-17,SAT-41-0,6,0,32.83203318964706,0
27,SAT-68-14,SAT-18-13,24,1,46.425488242692744,4752
28,SAT-30-2,SAT-26-2,57,5,348.72855223327326,23760
29,SAT-55-4,SAT-23-4,37,1,84.24247252228236,4752
30,SAT-59-17,SAT-29-13,35,3,80.59753234406878,14256
31,SAT-41-17,SAT-36-17,120,5,757.0453394449792,23760
32,SAT-4-6,SAT-18-21,22,3,71.31973583526987,14256
33,SAT-35-6,SAT-51-8,21,0,55.378488498405254,0
34,SAT-5-2,SAT-35-4,35,1,80.59753234406885,4752
35,SAT-4-6,SAT-32-1,34,3,83.52182332114143,14256
36,SAT-25-20,SAT-31-8,39,4,221.0465423094025,19008
37,SAT-36-17,SAT-29-13,12,3,38.938074084591165,14256
38,SAT-35-18,SAT-62-5,123,5,672.6880710872327,23760
39,SAT-47-7,SAT-42-13,12,2,48.49971474062796,9504
40,SAT-0-0,SAT-18-21,20,0,41.91951640130042,0
